"codeSystemVersion","uuid:ID","instanceType","codeSystem","id","decode","code"
"2023-12-15","11207193-2db0-4a62-9b19-28059b93db2e","Code","http://www.cdisc.org","Code_1","Interventional Study","C98388"
"2023-12-15","80a42db3-ecac-44db-902d-df56dfdf6e32","Code","http://www.cdisc.org","Code_2","Phase II Trial","C15601"
"2023-12-15","dd0db54d-6f00-43c2-af7e-5ce691a6f2ed","Code","http://www.cdisc.org","Code_9","Sponsor Approval Date","C132352"
"2023-12-15","3610c385-e8e3-4fe6-8f8c-619554dcb286","Code","http://www.cdisc.org","Code_10","Global","C68846"
"2023-12-15","2e45bd4a-b44e-4411-b7fd-ce229f913a1d","Code","http://www.cdisc.org","Code_72","IRB/IEC Feedback","C99904x3"
"2023-12-15","98521282-ab48-4f57-81a3-10fcd015bfd2","Code","http://www.cdisc.org","Code_73","Other","C17649"
"2023-12-15","075e76d3-b6d7-4b05-bc03-2f7de1c5df8d","Code","http://www.cdisc.org","Code_75","Region","C41129"
"2020-08","c50f0fe5-6c7b-4e92-a382-7b7912061472","Code","ISO 3166 1 alpha3","Code_74","Europe","150"
"12","fb38ece0-bfd3-4976-a1c1-571562bd641a","Code","SPONSOR","Code_4","Eli Lilly","PHARMA"
"2023-12-15","3d8f9113-a533-4df4-998c-d5d70c0a1e1e","Code","http://www.cdisc.org","Code_76","Clinical Study Sponsor","C70793"
"2020-08","31ee97eb-a534-406a-b5f1-2df4d243c151","Code","ISO 3166 1 alpha3","Code_77","United States of America","USA"
"2023-12-15","8cd7c853-af75-452b-9f7a-4f7ee4cc7160","Code","http://www.cdisc.org","Code_78","Study Registry","C93453"
"2020-08","47aeda73-e083-47d0-997b-da7617eddb56","Code","ISO 3166 1 alpha3","Code_79","United States of America","USA"
"2023-12-15","800c87bc-d3db-4d24-a1ea-8daddf8a765d","Code","http://www.cdisc.org","Code_137","Treatment Study","C49656"
"2023-12-15","3ed2f687-d4a5-4f43-ae00-739b88fc677b","Code","http://www.cdisc.org","Code_138","Efficacy Study","C49666"
"2023-12-15","ad705a63-8831-4047-9cb2-21532d1821f5","Code","http://www.cdisc.org","Code_139","Safety Study","C49667"
"2023-12-15","26c64269-f049-4d6f-a7c7-cfcebbd11d99","Code","http://www.cdisc.org","Code_140","Pharmacokinetic Study","C49663"
"12","270f216e-feef-4c0f-aa68-5b7bdd1e4861","Code","SPONSOR","Code_134","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ"
"January 31, 2018","2cae8ade-b103-4653-9aa4-957e3e98e4c0","Code","SNOMED","Code_135","Alzheimer's disease","26929004"
"2023-12-15","cc4fa644-bcd2-40fc-94fa-74c770e869f0","Code","http://www.cdisc.org","Code_143","EXTENSION","C99907x1"
"2023-12-15","e3a22706-5f4e-4ac3-b16d-427f67ed14e9","Code","http://www.cdisc.org","Code_144","ADAPTIVE","C98704"
"2023-12-15","5986f450-61e2-4ffa-8ebf-5fec25678915","Code","http://www.cdisc.org","Code_141","Parallel Study","C82639"
"2023-12-15","3c13d206-1563-4560-83f6-87a17b12e6cf","Code","http://www.cdisc.org","Code_83","Visit","C25716"
"2023-12-15","5dc6d446-19da-44c0-a9f6-c9e80e9b6285","Code","http://www.cdisc.org","Code_84","Clinic","C51282"
"2023-12-15","eb44fbae-a061-485c-bb28-e85b70fb218a","Code","http://www.cdisc.org","Code_85","In Person","C175574"
"2023-12-15","5030b366-1abc-4ad6-92b2-9f35c67a8255","Code","http://www.cdisc.org","Code_86","Visit","C25716"
"2023-12-15","52d0540f-71f6-47cc-8fae-9bfa6f1e5f07","Code","http://www.cdisc.org","Code_87","Clinic","C51282"
"2023-12-15","36a9bb50-24b7-4e52-b1a8-47ae40419c6e","Code","http://www.cdisc.org","Code_88","In Person","C175574"
"2023-12-15","a8e0ffb5-2f75-4186-87ca-398fbb09b490","Code","http://www.cdisc.org","Code_89","Visit","C25716"
"2023-12-15","dc0fd13a-1b0b-4036-93c1-a36160ba6d06","Code","http://www.cdisc.org","Code_90","Clinic","C51282"
"2023-12-15","d38a1f58-1556-48da-bb04-99a23129a485","Code","http://www.cdisc.org","Code_91","In Person","C175574"
"2023-12-15","0fc480b5-07d1-46d1-8360-ab1460931bbd","Code","http://www.cdisc.org","Code_92","Visit","C25716"
"2023-12-15","f1f69be5-7c33-4063-8e14-0f0e5cac8eff","Code","http://www.cdisc.org","Code_93","Clinic","C51282"
"2023-12-15","7d916493-9ef3-49b3-bae6-8b81b88f18c2","Code","http://www.cdisc.org","Code_94","In Person","C175574"
"2023-12-15","1eb5f4f4-17fe-4e82-b3ac-e40ddc97398d","Code","http://www.cdisc.org","Code_95","Visit","C25716"
"2023-12-15","8a20b2c3-3ac0-4b01-af70-30a28216c3a3","Code","http://www.cdisc.org","Code_96","Clinic","C51282"
"2023-12-15","42cda372-74e3-4bd3-91c2-abd7b4fc0081","Code","http://www.cdisc.org","Code_97","In Person","C175574"
"2023-12-15","0b024345-206c-4233-bbf8-da2b3171888b","Code","http://www.cdisc.org","Code_98","Visit","C25716"
"2023-12-15","9b14c7e2-3db1-4bdf-b990-ed0681750611","Code","http://www.cdisc.org","Code_99","Clinic","C51282"
"2023-12-15","51b6fbfd-fdb0-49be-851e-7d09a37a95f1","Code","http://www.cdisc.org","Code_100","In Person","C175574"
"2023-12-15","199eda65-7952-490c-9cb8-ba86193a339b","Code","http://www.cdisc.org","Code_101","Visit","C25716"
"2023-12-15","eb30ca89-de21-4294-97bf-e3e02d2bea7d","Code","http://www.cdisc.org","Code_102","Clinic","C51282"
"2023-12-15","c23cdf40-26fb-4a09-bf28-bea59b2d6cba","Code","http://www.cdisc.org","Code_103","In Person","C175574"
"2023-12-15","8e12c694-a00f-4224-b846-263c491c0572","Code","http://www.cdisc.org","Code_104","Telephone Call","C171537"
"2023-12-15","4cd02a28-bf32-459f-ad7f-f1ad2a605ab2","Code","http://www.cdisc.org","Code_105","Visit","C25716"
"2023-12-15","af66974a-d99d-4314-86cb-be7eab2eee60","Code","http://www.cdisc.org","Code_106","Clinic","C51282"
"2023-12-15","ccf6eeab-2514-478f-af67-c8ff5dff03d2","Code","http://www.cdisc.org","Code_107","In Person","C175574"
"2023-12-15","9597e213-53f8-4528-b302-5bb58ecb02c7","Code","http://www.cdisc.org","Code_108","Telephone Call","C171537"
"2023-12-15","2f67326a-ed5e-4637-a89b-4718030cda6e","Code","http://www.cdisc.org","Code_109","Visit","C25716"
"2023-12-15","b9c71d1c-2b94-44b7-bb75-deb91b0d352e","Code","http://www.cdisc.org","Code_110","Clinic","C51282"
"2023-12-15","73d9dd25-dce3-4b93-a941-d3ff6371a49c","Code","http://www.cdisc.org","Code_111","In Person","C175574"
"2023-12-15","1252a84a-c8b2-4457-8d6b-77775f06f49e","Code","http://www.cdisc.org","Code_112","Telephone Call","C171537"
"2023-12-15","0e8a18f1-22cf-45d9-b472-ed04840d6391","Code","http://www.cdisc.org","Code_113","Visit","C25716"
"2023-12-15","e67201d9-f114-454f-94a0-6690ea9898d3","Code","http://www.cdisc.org","Code_114","Clinic","C51282"
"2023-12-15","651d3bde-eecb-4e64-98a6-03777b2a362c","Code","http://www.cdisc.org","Code_115","In Person","C175574"
"2023-12-15","b0693d86-6b32-40ba-8a41-6725a0df7d4b","Code","http://www.cdisc.org","Code_116","Telephone Call","C171537"
"2023-12-15","6aa2a88f-5bab-4fe9-aaef-c543ff15b412","Code","http://www.cdisc.org","Code_117","Visit","C25716"
"2023-12-15","f153cfa1-0983-4acd-8e65-222f5792b034","Code","http://www.cdisc.org","Code_118","Clinic","C51282"
"2023-12-15","e89d3b3b-1745-4105-a791-1b6e5bc94e9e","Code","http://www.cdisc.org","Code_119","In Person","C175574"
"2023-12-15","2b337c65-4ebc-4014-89aa-44015b8cbb58","Code","http://www.cdisc.org","Code_120","Visit","C25716"
"2023-12-15","851ba0e7-9c2a-4ed7-bbe0-74735a5f81f5","Code","http://www.cdisc.org","Code_121","Clinic","C51282"
"2023-12-15","6e601613-9c61-4846-a9af-f00ed49ee25d","Code","http://www.cdisc.org","Code_122","In Person","C175574"
"January 31, 2018","1c9a1e49-bc2a-4646-911b-7913b93d4b7a","Code","SNOMED","Code_80","CT of head without contrast","383371000119108"
"12","2d5470ad-6202-414c-8fdf-a023b9543cf5","Code","SPONSOR","Code_81","Subject Supine","123"
"12","02b7ae8b-4192-405a-b70c-91ebe560c9e0","Code","SPONSOR","Code_82","Subject Standing","124"
"2023-12-15","cd74b0a2-aac7-449e-aa04-b3c6b9e904d9","Code","http://www.cdisc.org","Code_429","Dictionary-derived Term","C82977"
"2023-12-15","de36f00b-7a89-424c-81ae-e81a0382c71e","Code","http://www.cdisc.org","Code_430","Reported Event Term","C82571"
"2023-12-15","01e9f801-ce0b-41ca-8ff3-f5d1cce5615a","Code","http://www.cdisc.org","Code_431","Observation Start Date Time","C82517"
"2023-12-15","0255464e-6cb0-4cfc-a5ce-4e561eaa2b34","Code","http://www.cdisc.org","Code_432","Informed Consent","C16735"
"2023-12-15","d0a06ba5-8483-49ff-bd56-08ce36a5fbd1","Code","http://www.cdisc.org","Code_433","Male","C20197"
"2023-12-15","6768ecaf-3afe-43fb-92b8-e6b892d614d4","Code","http://www.cdisc.org","Code_434","Female","C16576"
"2023-12-15","654a9f6e-d55f-46f8-8c78-39b6cfafb859","Code","http://www.cdisc.org","Code_435","Sex","C28421"
"2023-12-15","15617e69-2796-4628-9380-0ccfdc1655fa","Code","http://www.cdisc.org","Code_436","Sex","C28421"
"2023-12-15","677695b0-a94f-4f92-b747-4820621b5827","Code","http://www.cdisc.org","Code_437","Race","C17049"
"2023-12-15","8e07e420-2d29-4a23-83b4-60ed305b7049","Code","http://www.cdisc.org","Code_438","Race","C17049"
"2023-12-15","b3fc4c52-b899-4fbe-a460-d67e7af93d84","Code","http://www.cdisc.org","Code_439","TEMP","C174446"
"2023-12-15","0d59aad6-d4a7-4be6-a58a-300fe098fd93","Code","http://www.cdisc.org","Code_440","Clinical Test Result","C77140"
"2023-12-15","4a001329-ce93-42b3-86f3-a566aef75e47","Code","http://www.cdisc.org","Code_441","Degree Celsius","C42559"
"2023-12-15","a77b2b09-0241-4fc2-b396-1176810b8e00","Code","http://www.cdisc.org","Code_442","Degree Fahrenheit","C44277"
"2023-12-15","71a265a7-8d40-4c12-a5d5-4f4e690ea59c","Code","http://www.cdisc.org","Code_443","Kelvin","C42537"
