"windowLower","uuid:ID","instanceType","valueLabel","value","name","description","id","label","windowUpper","windowLabel"
"","04f086c8-2e53-4253-9ad4-b29558680733","Timing","2 weeks","P2W","TIM1","Screening timing","Timing_1","Screening","",""
"PT4H","74d51254-b13c-48f3-885f-e5896090d297","Timing","2 days","P2D","TIM2","Pre dose timing","Timing_2","Pre dose","PT0H","-4..0 hours"
"","10676666-e026-4784-8780-1d265f3cea77","Timing","1 Day","P1D","TIM3","Dosing anchor","Timing_3","Dosing","",""
"P3D","a1cfc21a-0cfa-4297-8f93-4b90b6f2fbf7","Timing","2 Weeks","P2W","TIM4","Week 2 timing","Timing_4","Week 2","P3D","-3..3 days"
"P3D","0eca31ad-ae54-43d5-8c1e-985fc7bf6dca","Timing","4 Weeks","P4W","TIM5","Week 4 timing","Timing_5","Week 4","P3D","-3..3 days"
"P3D","21c3bbfe-aee3-4c69-9109-6c5f2a579df4","Timing","6 Weeks","P6W","TIM6","Week 6 timing","Timing_6","Week 6","P3D","-3..3 days"
"P3D","031b2dca-92e8-49fe-a501-2b21f4bb59a1","Timing","8 Weeks","P8W","TIM7","Week 8 timing","Timing_7","Week 8","P3D","-3..3 days"
"P4D","634f3f21-a076-4ae7-a56b-de5fda8b1295","Timing","12 Weeks","P12W","TIM9","Week 12 timing","Timing_9","Week 12","P4D","-4..4 days"
"P4D","19e93e5a-121e-475d-8d12-137a58487b37","Timing","16 Weeks","P16W","TIM11","Week 16 timing","Timing_11","Week 16","P4D","-4..4 days"
"P4D","1e394d08-ba43-46d3-8a52-bbe15c6132ba","Timing","20 Weeks","P20W","TIM13","Week 20 timing","Timing_13","Week 20","P4D","-4..4 days"
"P4D","eb723684-ebfd-40b7-9d0d-171a33d9a8fc","Timing","24 Weeks","P24W","TIM15","Week 24 timing","Timing_15","Week 24","P4D","-4..4 days"
"P3D","f5e0c68d-5915-4b32-8557-8f5b856c8145","Timing","26 Weeks","P26W","TIM16","Week 26 timing","Timing_16","Week 26","P3D","-3..3 days"
"","8caefbad-294e-4899-bcf2-ca94ec44a041","Timing","2 Weeks","P2W","TIM8","Week 8 at home timing","Timing_8","Week 8 Home","",""
"","eaad1b4c-64dd-42ef-b5e8-e53867244ab7","Timing","2 Weeks","P2W","TIM10","Week 12 at home timing","Timing_10","Week 12 Home","",""
"","39413162-8dbe-426a-a2c7-6c0178bbd0a2","Timing","2 Weeks","P2W","TIM12","Week 16 at home timing","Timing_12","Week 16 Home","",""
"","44e8a236-9193-4e3a-8083-a50af3317849","Timing","2 Weeks","P2W","TIM14","Week 20 at home timing","Timing_14","Week 20 Home","",""
"","2827d602-f46c-4fea-9cb7-3e03554d8d62","Timing","1 Day","P1D","TIM17","Adverse Event","Timing_17","Adverse Event","",""
"","e7eb41ee-51af-438f-b5a3-fa758a15f971","Timing","1 Day","P1D","TIM18","Early Termination","Timing_18","Early Termination","",""
"","62f3c372-dff5-467e-9eeb-456437a2e824","Timing","0 mins","PT0M","TIM19","Supine","Timing_19","Supine","",""
"","ef4d2e84-7f9f-47ca-b0cd-bbe7099f56da","Timing","5 mins","PT5M","TIM20","VS while supine","Timing_20","VS while supine","",""
"","6b3ad138-1d63-4479-996d-1c5f840aa89d","Timing","0 min","PT0M","TIM21","Standing","Timing_21","Standing","",""
"","c4508f64-46b7-4ab7-9aa7-7f6091d1d789","Timing","1 min","PT1M","TIM22","VS while standing","Timing_22","VS while standing","",""
"","b2965b26-f435-4020-8ed1-b5e379eaa3e6","Timing","0 min","PT0M","TIM23","Standing","Timing_23","Standing","",""
"","2d287e8e-3d2d-4178-a088-7d8935a49533","Timing","2 min","PT2M","TIM24","VS while standing","Timing_24","VS while standing","",""
