"windowLower","valueLabel","description","value","windowLabel","windowUpper","id","label","instanceType","name","uuid:ID"
"","2 weeks","Screening timing","P2W","","","Timing_1","Screening","Timing","TIM1","eebf7af4-2637-4afd-ad2f-dd8c5200ffe8"
"PT4H","2 days","Pre dose timing","P2D","-4..0 hours","PT0H","Timing_2","Pre dose","Timing","TIM2","74d3f5ec-32e0-4995-ae0c-2490fdc94603"
"","1 Day","Dosing anchor","P1D","","","Timing_3","Dosing","Timing","TIM3","2f12db96-a60e-4e30-9dc7-bcd10dd02257"
"P3D","2 Weeks","Week 2 timing","P2W","-3..3 days","P3D","Timing_4","Week 2","Timing","TIM4","38800ab4-f317-4fd8-b6a1-725bc22bed49"
"P3D","4 Weeks","Week 4 timing","P4W","-3..3 days","P3D","Timing_5","Week 4","Timing","TIM5","2ccea95a-eecb-44b6-97e8-c33710cd7450"
"P3D","6 Weeks","Week 6 timing","P6W","-3..3 days","P3D","Timing_6","Week 6","Timing","TIM6","aa60fb65-20f9-4021-b533-1dc80c4068e0"
"P3D","8 Weeks","Week 8 timing","P8W","-3..3 days","P3D","Timing_7","Week 8","Timing","TIM7","fc0176aa-6cff-4fd4-9b74-b90361dd51dd"
"P4D","12 Weeks","Week 12 timing","P12W","-4..4 days","P4D","Timing_9","Week 12","Timing","TIM9","54e6a7e4-0aa3-4191-b7b3-d43cbdad3ca9"
"P4D","16 Weeks","Week 16 timing","P16W","-4..4 days","P4D","Timing_11","Week 16","Timing","TIM11","466bdaa4-8397-4d04-ab77-97adf613a329"
"P4D","20 Weeks","Week 20 timing","P20W","-4..4 days","P4D","Timing_13","Week 20","Timing","TIM13","8f230d34-4e60-4b74-b5c5-ba70062a750b"
"P4D","24 Weeks","Week 24 timing","P24W","-4..4 days","P4D","Timing_15","Week 24","Timing","TIM15","0197a160-4ac3-4f7d-a824-e88961b02a05"
"P3D","26 Weeks","Week 26 timing","P26W","-3..3 days","P3D","Timing_16","Week 26","Timing","TIM16","6e47328e-c379-4d82-aad9-c3495880fcec"
"","2 Weeks","Week 8 at home timing","P2W","","","Timing_8","Week 8 Home","Timing","TIM8","9230c696-45c2-4f8a-86c6-415b13513115"
"","2 Weeks","Week 12 at home timing","P2W","","","Timing_10","Week 12 Home","Timing","TIM10","6419000c-534b-4c84-ba69-f8d2a313fbb8"
"","2 Weeks","Week 16 at home timing","P2W","","","Timing_12","Week 16 Home","Timing","TIM12","be0d4661-192a-4ea5-8f26-d15656ab4454"
"","2 Weeks","Week 20 at home timing","P2W","","","Timing_14","Week 20 Home","Timing","TIM14","577a3f4a-d151-4149-8e25-4fb5fb10c7f5"
"","1 Day","Adverse Event","P1D","","","Timing_17","Adverse Event","Timing","TIM17","01ac6d39-57c2-4c77-9bff-12c71c54388d"
"","1 Day","Early Termination","P1D","","","Timing_18","Early Termination","Timing","TIM18","51e1e525-fbf4-4d19-b3c1-c49981116198"
"","0 mins","Supine","PT0M","","","Timing_19","Supine","Timing","TIM19","b39b2a1f-d54f-492e-a90f-8496f3c81a71"
"","5 mins","VS while supine","PT5M","","","Timing_20","VS while supine","Timing","TIM20","18ee6daf-e585-4fbf-90e8-51515c4db093"
"","0 min","Standing","PT0M","","","Timing_21","Standing","Timing","TIM21","4efb1deb-de61-4d45-8e7d-6e8ba5864dbe"
"","1 min","VS while standing","PT1M","","","Timing_22","VS while standing","Timing","TIM22","4df89090-c1f4-46e4-a5dd-350dc8be77e9"
"","0 min","Standing","PT0M","","","Timing_23","Standing","Timing","TIM23","e106d5b3-50b2-4d0a-be73-229496d1d492"
"","2 min","VS while standing","PT2M","","","Timing_24","VS while standing","Timing","TIM24","65c5231e-c275-4f3b-8327-96be5936a945"
