"reference","id","label","instanceType","synonyms","name","uuid:ID"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept_20","Informed Consent Obtained","BiomedicalConcept","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained","df0d23f8-8e4a-4d20-ae6f-7a77156c99d6"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept_21","Sex","BiomedicalConcept","","Sex","7e4c680d-98be-4b5f-ab2a-3b0db87e0aeb"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept_22","Race","BiomedicalConcept","['Racial Group']","Race","c18c2c45-5d11-42d4-befc-22e654a10e7a"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_23","Temperature","BiomedicalConcept","['Temperature', 'Body Temperature']","Temperature","63707b4e-bc31-4ab2-b463-91e894009466"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_24","Weight","BiomedicalConcept","['Weight', 'Body Weight']","Weight","80eecba2-b500-48dd-b278-466ad889879d"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_25","Height","BiomedicalConcept","['Height', 'Body Height']","Height","3b62ec48-efc3-4d33-807a-5144dbd1d068"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","e84d7493-a027-4d44-bb9e-4237d59f0f62"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_27","Albumin Presence in Urine","BiomedicalConcept","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","3c47be00-329f-4ade-a9c7-bfd1a93395b1"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","f293ccad-5214-4053-a6ff-4220986b248a"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","7491e878-4e2b-4f43-92a6-2f15a9fa6bf9"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept_30","Creatinine Concentration in Urine","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","dd6137fa-16d5-4438-8c59-29c6338e2a64"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept_31","Potassium Concentration in Urine","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","97d612ad-595d-46f8-a941-d87ddf5e0a62"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept_32","Sodium Concentration in Urine","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","b012cc28-cb9f-4196-807a-356697f5a123"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood","BiomedicalConcept","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","40bfa7ec-439b-4e9c-9698-670e9508f62d"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept_1","Adverse Event Prespecified","BiomedicalConcept","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","297a0f00-823e-47a4-b347-a400ebe64002"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_2","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","55f5ab2b-37dc-42cf-90d9-a59511f9b4b0"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_3","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","c48228c6-c2f4-4924-aae0-410d5104d261"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_4","Temperature","BiomedicalConcept","['Temperature', 'Body Temperature']","Temperature","19d42d5d-8f62-4776-9d1b-d7c08ac7ecc6"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_5","Weight","BiomedicalConcept","['Weight', 'Body Weight']","Weight","3c946579-5500-4f4c-9076-49c9bab92d74"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_6","Height","BiomedicalConcept","['Height', 'Body Height']","Height","9a9df83a-03ae-4bc8-afb8-357dd0252a6f"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","ac3d7486-befb-41d2-9c10-725265128deb"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_8","Albumin Presence in Urine","BiomedicalConcept","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","5c78b6d9-d20f-4fed-a641-7c0a3792661a"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","25e32b1d-fb18-45e3-b0f1-73476354d1ff"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","03fbb3e1-3f56-4149-8df2-7c858049b0d4"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept_11","Creatinine Concentration in Urine","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","a72c5d4f-5100-4ae8-acad-8314f90b1c08"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept_12","Potassium Concentration in Urine","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","a6901a39-4467-42fa-9870-71071b96a63b"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept_13","Sodium Concentration in Urine","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","ebe4fba3-3916-47f0-a3d5-a6c9ea317198"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_14","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","33b6eacf-f8e3-4ce7-88ea-adbf6c44fe7d"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_15","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","55d12c2a-8961-40f5-be4e-5e76e1b61304"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept_16","Heart Rate","BiomedicalConcept","['Heart Rate']","Heart Rate","f92ec102-9765-4227-ac83-14e37b8581dc"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_17","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","4c66d60c-b661-4e36-8dac-49fa94004ac3"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_18","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","3598ee3a-e38e-46ee-b1aa-e7d7536e0a33"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept_19","Heart Rate","BiomedicalConcept","['Heart Rate']","Heart Rate","60e504a8-96ae-4286-8c3d-35371f22d718"
