"description","id","label","instanceType","name","uuid:ID"
"Screening encounter","Encounter_1","Screening 1","Encounter","E1","573f900e-c138-4554-b937-15a6d3cba566"
"Screening encounter - Ambulatory ECG Placement","Encounter_2","Screening 2","Encounter","E2","38d8641b-2884-4c86-b5eb-cbf07b1f5b12"
"Baseline encounter - Ambulatory ECG Removal","Encounter_3","Baseline","Encounter","E3","07358d65-168b-4cf6-b2fc-f0029d309c9b"
"Day 14","Encounter_4","Week 2","Encounter","E4","3b707cc6-4329-4422-b3f7-59cbdd8cc1fb"
"Day 28","Encounter_5","Week 4","Encounter","E5","9e320b4a-46e1-4bc7-a80b-24747f8a6e9a"
"Day 42","Encounter_6","Week 6","Encounter","E7","c025361a-53dd-4e64-a9e5-d162c534cc6c"
"Day 56","Encounter_7","Week 8","Encounter","E8","bcf7da97-a800-4040-90cd-680d3ef14108"
"Day 84","Encounter_8","Week 12","Encounter","E9","f827c3cf-67cb-454d-8654-96bdb514d71e"
"Day 112","Encounter_9","Week 16","Encounter","E10","dfec8bce-9265-46ba-a59c-bfc15ec37ef0"
"Day 140","Encounter_10","Week 20","Encounter","E11","73922c9a-98c4-488f-8c3c-f21fdb9604cd"
"Day 168","Encounter_11","Week 24","Encounter","E12","4288158a-bdb8-4010-ad5d-bf5541060625"
"Day 182","Encounter_12","Week 26","Encounter","E13","689e0c6e-8ecc-4cf7-8914-784104972e54"
