"codeSystem","code","id","instanceType","codeSystemVersion","decode","uuid:ID"
"http://www.cdisc.org","C98388","Code_1","Code","2023-12-15","Interventional Study","ddb9b1c2-94bb-415b-b2d0-b568be3b8ea3"
"http://www.cdisc.org","C15601","Code_2","Code","2023-12-15","Phase II Trial","723768be-71b0-417c-bb4b-424bb640e05e"
"http://www.cdisc.org","C132352","Code_9","Code","2023-12-15","Sponsor Approval Date","81a5460f-bf0b-4a96-97c4-5b9e6a135204"
"http://www.cdisc.org","C68846","Code_10","Code","2023-12-15","Global","a5d573f2-db35-44c4-96c8-b2b5555b626e"
"http://www.cdisc.org","C99904x3","Code_72","Code","2023-12-15","IRB/IEC Feedback","aa0c4b9f-b29b-490a-8a6c-6b4645061dd1"
"http://www.cdisc.org","C17649","Code_73","Code","2023-12-15","Other","b5cb52b2-e621-4355-b08c-285d674a7ffe"
"http://www.cdisc.org","C41129","Code_75","Code","2023-12-15","Region","39edc1d9-fdbb-4096-8479-ae3ec70404d1"
"ISO 3166 1 alpha3","150","Code_74","Code","2020-08","Europe","d1ffb916-72a3-42f9-87c2-ad7f01447479"
"SPONSOR","PHARMA","Code_4","Code","12","Eli Lilly","96a02df0-ea10-4c32-8caa-700db72112be"
"http://www.cdisc.org","C70793","Code_76","Code","2023-12-15","Clinical Study Sponsor","a4fc4306-7ae3-498b-bea6-f7677780f9d3"
"ISO 3166 1 alpha3","USA","Code_77","Code","2020-08","United States of America","b8535a10-f166-436d-b4cf-14b1d65ca74e"
"http://www.cdisc.org","C93453","Code_78","Code","2023-12-15","Study Registry","07c1e84b-4595-4d0f-8094-2d8f2edfc9ab"
"ISO 3166 1 alpha3","USA","Code_79","Code","2020-08","United States of America","b318bb7d-532a-423c-9bd9-6208a3aeb353"
"http://www.cdisc.org","C49656","Code_137","Code","2023-12-15","Treatment Study","6836afb1-c0fd-424f-8d90-db355fd2b022"
"http://www.cdisc.org","C49666","Code_138","Code","2023-12-15","Efficacy Study","551e168a-0177-4a0b-b977-0cad35005c1d"
"http://www.cdisc.org","C49667","Code_139","Code","2023-12-15","Safety Study","1fdd649a-fd7b-4f7a-a034-50bbd0fa80a3"
"http://www.cdisc.org","C49663","Code_140","Code","2023-12-15","Pharmacokinetic Study","5b802f42-2372-4f1a-9e0a-5723d415f782"
"SPONSOR","MILD_MOD_ALZ","Code_134","Code","12","Mild to Moderate Alzheimer's Disease","0a4cd9e3-8a24-4ab5-ba9f-2f3a1e9e28ec"
"SNOMED","26929004","Code_135","Code","January 31, 2018","Alzheimer's disease","57d96375-f493-48cc-9d48-aa3ec0fc0ff5"
"http://www.cdisc.org","C99907x1","Code_143","Code","2023-12-15","EXTENSION","6f74c523-7fa5-4e3e-a49e-29181e016a16"
"http://www.cdisc.org","C98704","Code_144","Code","2023-12-15","ADAPTIVE","d9bbd688-7822-4e5f-95d4-1cf9b00e2735"
"http://www.cdisc.org","C82639","Code_141","Code","2023-12-15","Parallel Study","8c6897a0-6e19-4ca5-97c3-b6847a11edc9"
"http://www.cdisc.org","C25716","Code_83","Code","2023-12-15","Visit","2833569c-eab8-4744-8c47-1a3eb103a0af"
"http://www.cdisc.org","C51282","Code_84","Code","2023-12-15","Clinic","4512e710-79b9-42bf-9951-bd2e2804d4b4"
"http://www.cdisc.org","C175574","Code_85","Code","2023-12-15","In Person","a5f28b4d-6fcf-4fe7-a9c1-1dff0a5b73dc"
"http://www.cdisc.org","C25716","Code_86","Code","2023-12-15","Visit","ff94e418-eebe-4815-b684-0f18b703800a"
"http://www.cdisc.org","C51282","Code_87","Code","2023-12-15","Clinic","b9e2be30-b508-494e-b867-49b320353740"
"http://www.cdisc.org","C175574","Code_88","Code","2023-12-15","In Person","8f0fd121-5b45-4c35-8d61-af72944b8965"
"http://www.cdisc.org","C25716","Code_89","Code","2023-12-15","Visit","2e8351b6-8f09-4de7-89bb-4b69ba35199a"
