"purpose","name","description","label","uuid:ID","instanceType","id","text"
"","END1","","","29a9c496-c3ed-4fe1-92b2-7a2b70cc143d","Endpoint","Endpoint_1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"","END2","","","d0595520-4d11-492a-bafe-40e65fdabaeb","Endpoint","Endpoint_2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"","END3","","","f0e41c9f-5a80-4298-91c1-28b85c6b5107","Endpoint","Endpoint_3","Adverse events"
"","END4","","","1ecd6b45-98ea-4770-9bb3-f5e355529c34","Endpoint","Endpoint_4","Vital signs (weight, standing and supine blood pressure, heart rate)"
"","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","40b9cf5e-c6df-4922-91da-46d2bf5203f4","Endpoint","Endpoint_5","Laboratory evaluations (Change from Baseline)"
"","END6","","","ec938452-11eb-46ea-9e17-0e3b6092b80a","Endpoint","Endpoint_6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"","END7","","","889519df-9a81-49a8-af23-5d8f445c9343","Endpoint","Endpoint_7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"","END8","","","0135b8db-b20c-4504-93b8-70bcdf2c39c1","Endpoint","Endpoint_8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"","END9","","","2f200093-8c8e-42ec-8414-b98b27edaba6","Endpoint","Endpoint_9","*** To be determined from protocol ***"
"","END10","","","592f531f-209b-4cfc-9afc-534a565b22fe","Endpoint","Endpoint_10","*** To be determined from protocol ***"
"","END11","","","dc9bec12-36ce-4171-9f22-142d00b5b021","Endpoint","Endpoint_11","*** To be determined from protocol ***"
