"codeSystemVersion","code","instanceType","uuid:ID","id","codeSystem","decode"
"2023-12-15","C98388","Code","4acb55a0-8e1a-4d26-842e-6f9e1b958d3e","Code_1","http://www.cdisc.org","Interventional Study"
"2023-12-15","C15601","Code","01b8363f-0645-4a2e-8e94-7f6ae9eed0ff","Code_2","http://www.cdisc.org","Phase II Trial"
"2023-12-15","C132352","Code","ef958864-7cb8-4c17-9ded-9d8de6f1340d","Code_9","http://www.cdisc.org","Sponsor Approval Date"
"2023-12-15","C68846","Code","46ae3a5b-fe2d-435d-aa7c-8aaa9e39c699","Code_10","http://www.cdisc.org","Global"
"2023-12-15","C99904x3","Code","999fdd36-210b-4a92-8cda-6adbf5752c0f","Code_72","http://www.cdisc.org","IRB/IEC Feedback"
"2023-12-15","C17649","Code","d295f629-b197-488a-afe6-b134bf53b1ba","Code_73","http://www.cdisc.org","Other"
"2023-12-15","C41129","Code","614ab790-7d2b-4bdb-a59f-b352b01561a8","Code_75","http://www.cdisc.org","Region"
"2020-08","150","Code","737dcddf-712d-492b-93e2-7029e988ce0d","Code_74","ISO 3166 1 alpha3","Europe"
"12","PHARMA","Code","bc1911aa-b466-421a-9b80-b5247ab7a90b","Code_4","SPONSOR","Eli Lilly"
"2023-12-15","C70793","Code","43a1ad6d-5f37-49d2-998b-f02bacb7d6d4","Code_76","http://www.cdisc.org","Clinical Study Sponsor"
"2020-08","USA","Code","2f4c843a-6076-4723-a03f-bd1a6fedf255","Code_77","ISO 3166 1 alpha3","United States of America"
"2023-12-15","C93453","Code","981a22f8-1149-4574-bb33-5b09abb8eaae","Code_78","http://www.cdisc.org","Study Registry"
"2020-08","USA","Code","dcf63742-a8e0-48da-8519-e316573f9f2f","Code_79","ISO 3166 1 alpha3","United States of America"
"2023-12-15","C49656","Code","925bf734-6148-4b4b-98fe-3474545430ed","Code_137","http://www.cdisc.org","Treatment Study"
"2023-12-15","C49666","Code","dc444477-a572-4fbc-a522-28ecbaad8572","Code_138","http://www.cdisc.org","Efficacy Study"
"2023-12-15","C49667","Code","1e2632e7-be58-433e-b854-224c62038232","Code_139","http://www.cdisc.org","Safety Study"
"2023-12-15","C49663","Code","6755be26-e7b0-46c9-a5b5-4e474453f74c","Code_140","http://www.cdisc.org","Pharmacokinetic Study"
"12","MILD_MOD_ALZ","Code","2c0d45b0-13e6-41c5-9879-1ec6fa2f39d6","Code_134","SPONSOR","Mild to Moderate Alzheimer's Disease"
