"name","synonyms","label","uuid:ID","instanceType","id","reference"
"Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained","80ff8773-2ecc-4175-ba5e-7e16edcb08fd","BiomedicalConcept","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT"
"Sex","","Sex","455d6da5-de2b-41c7-805f-bdabdc6dcf85","BiomedicalConcept","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"Race","['Racial Group']","Race","ff272fc9-cc04-48b9-9782-2ca687836191","BiomedicalConcept","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"Temperature","['Temperature', 'Body Temperature']","Temperature","4212d999-37e5-49d7-b0d2-4bd7f9eda75c","BiomedicalConcept","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","['Weight', 'Body Weight']","Weight","bd003f81-428b-427d-b1c8-70609998a8e2","BiomedicalConcept","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","['Height', 'Body Height']","Height","56f78101-58e1-4eef-a026-7ab47e8851fc","BiomedicalConcept","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","ae752dda-56dd-4750-af06-e14ac5ee7560","BiomedicalConcept","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","3f0b2f0f-5f8d-4e64-8c0e-3a596d783436","BiomedicalConcept","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","edccd64e-76e0-4ab8-ae06-cf0577f0743f","BiomedicalConcept","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","ac3703d5-fe87-417e-89ce-c1fc45b3bb5c","BiomedicalConcept","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","94858fb4-f8f6-407c-81f0-1b9ae8631528","BiomedicalConcept","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","341ce950-219f-4d4c-a254-66ec18c5103a","BiomedicalConcept","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","fa9f2ca2-ffd2-4dc4-a7ec-a90cabbf8da5","BiomedicalConcept","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","86ab5843-afb2-4aa7-b881-890712caf690","BiomedicalConcept","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","364c5425-d9a9-4da8-9a12-b690f701527a","BiomedicalConcept","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","10e21900-4d36-4476-82ea-e2ef3307936b","BiomedicalConcept","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","9dd268e2-db4b-46e1-9a88-9ae160ceb7b1","BiomedicalConcept","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Temperature","['Temperature', 'Body Temperature']","Temperature","80cd6eaa-df35-4e4c-a53f-ebd49f6f4efb","BiomedicalConcept","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","['Weight', 'Body Weight']","Weight","d9076d10-0bfe-4552-94bf-18b318418774","BiomedicalConcept","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","['Height', 'Body Height']","Height","40ce2e99-23c2-4807-b0d3-47d9427bca5c","BiomedicalConcept","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","3eb60f2b-d137-43f3-a93d-b1d6f72e54de","BiomedicalConcept","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","40dbd7bc-911d-4fc7-876f-6001acb6b344","BiomedicalConcept","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","53e1b21e-d9fe-430b-a213-056b42336507","BiomedicalConcept","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","dfa5f5b8-ff6f-4311-8d57-9806f161f6cd","BiomedicalConcept","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","e56130de-26e5-48e9-996f-bc064bf81a6a","BiomedicalConcept","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","050a0d41-7a24-4cb2-af14-03693d7cd944","BiomedicalConcept","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","318a9b07-064e-4867-b9b2-afa74a769c4b","BiomedicalConcept","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","ef2997c0-15e7-4563-b1c4-5c6445e638aa","BiomedicalConcept","BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","b138c1d0-60b3-46e0-8f96-e90bde717b7e","BiomedicalConcept","BiomedicalConcept_15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","['Heart Rate']","Heart Rate","ef1456ea-a374-4069-abe2-7dcd90d3e054","BiomedicalConcept","BiomedicalConcept_16","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","d0c4aea6-ee26-46cd-ad86-e854c363ff43","BiomedicalConcept","BiomedicalConcept_17","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","692c3432-b2e8-4b59-b094-2c423e78712f","BiomedicalConcept","BiomedicalConcept_18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","['Heart Rate']","Heart Rate","03a36e0f-02db-445c-9b58-482a174ad550","BiomedicalConcept","BiomedicalConcept_19","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
