"name","description","label","uuid:ID","instanceType","id"
"Informed consent","","Informed consent","bd15f3f9-34bf-443b-9e8d-fffb42df0baa","Activity","Activity_1"
"Inclusion/exclusion criteria","","Inclusion and exclusion criteria","9472ce69-90ba-40e9-bd2a-644cab74d763","Activity","Activity_2"
"Patient number assigned","","Patient number assigned","a50c35f7-9577-446e-a3e3-3771b5930eb9","Activity","Activity_3"
"Demographics","","Demographics","e7ab1201-28e6-4cf3-bebe-4bd4f4ccaa66","Activity","Activity_4"
"Hachinski","","Hachinski Ischemic Scale","64070896-9624-4a5f-a1ea-e2d96ec5b38b","Activity","Activity_5"
"MMSE","","MMSE","a70d9c0d-7377-4e23-99f9-11ee5c4b848a","Activity","Activity_6"
"Physical examination","","Physical examination","87edf38b-b328-4819-bb08-f6a1a27f9de0","Activity","Activity_7"
"Medical history","","Medical history","1efff320-c99a-4c37-8fa4-e60db6f61024","Activity","Activity_8"
"Habits","","Habits","928678de-2237-4a8e-ab5f-64de9e5596fe","Activity","Activity_9"
"Chest X-ray","","Chest X-ray","d159b1fd-6d6b-4491-a0de-f3092bc4acf9","Activity","Activity_10"
"Apo E genotyping","","Apo E genotyping","00ac1878-b898-4c4b-87a7-5cba40f2cb7f","Activity","Activity_11"
"Patient randomised","","Patient randomised","18e72f9d-140d-49f0-a5f6-e00bc7ddae9b","Activity","Activity_12"
"Vital signs / Temperature","","Vital Signs and Temperature","e072b2ab-62b6-46a6-8973-1703acceb277","Activity","Activity_13"
"Ambulatory ECG placed","","Ambulatory ECG placed","d80b68d5-3fad-4bea-9dcd-8cda1f41e783","Activity","Activity_14"
"Ambulatory ECG removed","","Ambulatory ECG removed","08207053-9519-458e-ab86-beb2c0b58d10","Activity","Activity_15"
"ECG","","ECG","da2640f5-b3ca-40d5-8a5a-a087950199b1","Activity","Activity_16"
"Placebo TTS test","","Placebo TTS test","68904495-53a3-4bfd-b960-a50bd2f71579","Activity","Activity_17"
"CT scan","","CT scan","4a8081ba-b364-4795-a236-ad15f1629f7f","Activity","Activity_18"
"Concomitant medications","","Concomitant medications","a03a6588-b409-4c82-927b-6a5f43c411a7","Activity","Activity_19"
"Hematology","","Hematology","440a95fe-ffe5-4217-a185-3095221e3e63","Activity","Activity_20"
"Chemistry","","Chemistry","45ed07c6-8f0c-4410-9c6d-ef6d97ffb205","Activity","Activity_21"
"Uninalysis","","Uninalysis","2a16e38a-0bad-44a3-88cf-8bfa2a684ff1","Activity","Activity_22"
"Plasma Specimen (Xanomeline)","","Plasma Specimen (Xanomeline)","6d456152-9712-420e-96b1-0dc30f23580e","Activity","Activity_23"
"Hemoglobin A1C","","Hemoglobin A1C","2cdcfbe2-0507-410d-b54b-22734b97bb93","Activity","Activity_24"
"Study drug","","Study drug record , Medications dispensed, Medications returned","8c6aee0a-5b3b-4391-8233-2541ce01c979","Activity","Activity_25"
"TTS Acceptability Survey","","TTS Acceptability Survey","83f785a2-d60a-4709-91bf-4207c42b17d0","Activity","Activity_26"
"ADAS-Cog","","ADAS-Cog","08abe13e-c384-4936-9510-1035ca7e0735","Activity","Activity_27"
"CIBIC+","","CIBIC+","7ac5a820-48d1-47c2-b775-03523083437d","Activity","Activity_28"
"DAD","","DAD","3bfc1e2f-aeef-4fcc-bf92-84333c25773f","Activity","Activity_29"
"NPI-X","","NPI-X","df0481cc-5b33-4f82-b675-e179f2689de5","Activity","Activity_30"
"Adverse events","","Adverse events","39ec68de-83db-4750-8bd0-930f9a405cdc","Activity","Activity_31"
"Check adverse events","","Check adverse events","cfb691b5-0dc0-4007-9e56-75ce08236356","Activity","Activity_32"
"Supine","","Subject supine","c88f2f66-58fb-4f5f-9760-7711c7292470","Activity","Activity_33"
"Vital Signs Supine","","Vital signs while supine","77d3742b-7509-4c5d-8458-323b119593a7","Activity","Activity_34"
"Stand","","Subject Standing","ef0e9b7d-d0ae-4d4a-ae9a-d01c04dfbd0a","Activity","Activity_35"
"Vital Signs Standing","","Vital signs while standing","b93d5e94-0d75-4a75-97bf-925d9335b608","Activity","Activity_36"
