"name","description","label","identifier","instanceType","uuid:ID","id","text"
"IN01","","Age greater than 50","01","EligibilityCriterion","e7d1403b-744d-437b-b6c4-53240d98bd73","EligibilityCriterion_1","<p>Males and postmenopausal females at least <usdm:tag name=""min_age""/> years of age.</p>"
"IN02","","Diagnosis of Alzheimer's","02","EligibilityCriterion","1b917877-eb26-469e-9374-379d91fa38ee","EligibilityCriterion_2","<p><usdm:tag name=""StudyPopulation""/> as defined by National Institute of Neurological and Communicative Disorders and Stroke (NINCDS) and the Alzheimer's Disease and Related Disorders Association (ADRDA) guidelines (Attachment LZZT.7).</p>"
"IN03","","MMSE Score","03","EligibilityCriterion","b73d8c0a-33f4-4898-a06a-11a775d64d9b","EligibilityCriterion_3","<p><usdm:tag name=""Activity1""/> score of 10 to 23.</p>"
"IN04","","Hachinski Ischemic Score","04","EligibilityCriterion","f7490fef-9538-463f-b39c-ac64615357e5","EligibilityCriterion_4","<p><usdm:tag name=""Activity2""/>  score of ≤4 (Attachment LZZT.8).</p>"
"IN05","","CNS imaging comptaible with Alzheimer's","05","EligibilityCriterion","50926c80-c5f7-4194-a1e3-4a3541e2fd80","EligibilityCriterion_5","<p>CNS imaging (CT scan or MRI of brain) compatible with AD within past 1 year.</p>
<p>The following findings are incompatible with AD:</p>
<ol type=""a"">
  <li>
    <p>Large vessel strokes</p>
    <ol>
      <li>
        <p>Any definite area of encephalomalacia consistent with ischemic necrosis in any cerebral artery territory.</p>
      </li>
      <li>
        <p>Large, confluent areas of encephalomalacia in parieto-occipital or frontal regions consistent with watershed
          infarcts.</p>
        <p>The above are exclusionary. Exceptions are made for small areas of cortical asymmetry which may represent a
          small cortical stroke or a focal area of atrophy provided there is no abnormal signal intensity in the
          immediately underlying parenchyma. Only one such questionable area allowed per scan, and size is restricted to
          ≤1cm in frontal/parietal/temporal cortices and ≤2 cm in occipital cortex.</p>
      </li>
    </ol>
  </li>
  <li>
    <p>Small vessel ischemia</p>
    <ol>
      <li>
        <p>Lacunar infarct is defined as an area of abnormal intensity seen on CT scan or on both T1 and T2 weighted MRI
          images in the basal ganglia, thalamus or deep white matter which is ≤1 cm in maximal diameter. A maximum of
          one
          lacune is allowed per scan.</p>
      </li>
      <li>
        <p>Leukoariosis or leukoencephalopathy is regarded as an abnormality seen on T2 but not T1 weighted MRIs, or on
          CT. This is accepted if mild or moderate in extent, meaning involvement of less than 25% of cortical white
          matter.
      </li>
    </ol>
  </li>
  <li>
    <p>Miscellaneous</p>
    <ol>
      <li>
        <p>Benign small extra-axial tumors (ie, meningiomas) are accepted if they do not contact or indent the brain
          parenchyma.</p>
      </li>
      <li>
        <p>Small extra-axial arachnoid cysts are accepted if they do not indent or deform the brain parenchyma.</p>
      </li>
    </ol>
  </li>
</ol>"
"IN06","","Informed consent criteria","06","EligibilityCriterion","dea32102-1552-459b-859c-34c22b00956d","EligibilityCriterion_6","<p>Investigator has obtained informed consent signed by the patient (and/or legal representative) and by the caregiver.</p>"
"IN07","","Geographic proximity criteria","07","EligibilityCriterion","396ea53e-b8d7-474b-a3bd-1774acc3abec","EligibilityCriterion_7","<p>Geographic proximity to investigator's site that allows adequate follow-up.</p>"
"IN08","","Reliable caregiver criteria","08","EligibilityCriterion","9f2c4b9b-9d6b-4746-806c-6dae42a72bb4","EligibilityCriterion_8","<p>A reliable caregiver who is in frequent or daily contact with the patient and who will accompany the patient to the office and/or be available by telephone at designated times, will monitor administration of prescribed medications, and will be responsible for the overall care of the patient at home. The caregiver and the patient must be able to communicate in English and willing to comply with 26 weeks of transdermal therapy.</p>"
"EX01","","Previous study criteria","09","EligibilityCriterion","7c88657b-ebfa-41d2-a486-e8f84705a761","EligibilityCriterion_9","<p>Persons who have previously completed or withdrawn from this study or any other study investigating xanomeline TTS or the oral formulation of xanomeline.</p>"
"EX02","","Other Alzheimer's therapy criteria","10","EligibilityCriterion","2ff32e9e-b485-45a3-9d77-f45171c55ab0","EligibilityCriterion_10","<p>Use of any investigational agent or approved Alzheimer's therapeutic medication within 30 days prior to enrollment into the study.</p>"
"EX03","","Serious illness criteria","11","EligibilityCriterion","12861581-0e6b-4a30-8c37-2c12ba37ba8a","EligibilityCriterion_11","<p>Serious illness which required hospitalization within 3 months of screening.</p>"
