"name","uuid:ID","instanceType","id","text"
"ENCOUNTER_START_RULE_1","bf59835e-4681-4f51-ac6a-bab59fbd1457","TransitionRule","TransitionRule_1","Subject identifier"
"ENCOUNTER_START_RULE_1","12b4f301-8279-4519-ab3d-7154741ff547","TransitionRule","TransitionRule_2","completion of screening activities"
"ENCOUNTER_START_RULE_2","3196566b-8b67-47c2-a2da-f3fb260499fa","TransitionRule","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"ENCOUNTER_START_RULE_3","baca2542-3917-4311-81d9-1e249eb87a08","TransitionRule","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"ENCOUNTER_START_RULE_3","5ddce24d-d5ee-4c74-8709-1842099ac348","TransitionRule","TransitionRule_5","Radomized"
"ENCOUNTER_START_RULE_12","8de0f1a0-c090-4ba7-803d-34cda5b27192","TransitionRule","TransitionRule_6","End of treatment"
"ELEMENT_START_RULE_1","54af719b-0705-4d81-85e9-b95292e0177f","TransitionRule","TransitionRule_7","Informed consent"
"ELEMENT_END_RULE_1","a0b424a4-c21b-4e2e-9ed7-2b93f14d6649","TransitionRule","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"ELEMENT_START_RULE_2","cde17437-8f86-48a6-968a-a8135b6683fb","TransitionRule","TransitionRule_9","Administration of first dose"
"ELEMENT_START_RULE_7","fba6d32a-74e9-4bff-b024-d48a7ad57af2","TransitionRule","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"ELEMENT_END_RULE_7","d0621df2-ecdf-4952-a59a-1621f9850cb8","TransitionRule","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"ELEMENT_START_RULE_3","a9e8d309-6ac1-440c-93ee-195538db6a9b","TransitionRule","TransitionRule_10","Administration of first dose"
"ELEMENT_START_RULE_4","79d12215-c41f-4805-8d89-003b06714863","TransitionRule","TransitionRule_11","Randomized"
"ELEMENT_START_RULE_5","0316cef8-d00c-40f7-8f4f-a816035b8cea","TransitionRule","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"ELEMENT_START_RULE_6","8052ecad-d0f4-4f92-bd93-1b4a8b7e9425","TransitionRule","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
