"uuid:ID","id","label","description","name","instanceType"
"01c003a2-dbdf-48c2-8573-c8c82b907e8c","ScheduledActivityInstance_9","Screen One","-","SCREEN1","ScheduledActivityInstance"
"3eb414bf-6b87-44ed-be1a-457ddd15b25c","ScheduledActivityInstance_10","Screen Two","-","SCREEN2","ScheduledActivityInstance"
"7683bdbc-1f3b-45ee-b231-7a218ddc007d","ScheduledActivityInstance_11","Dose","-","DOSE","ScheduledActivityInstance"
"b8b6536c-1c29-42fd-bfe3-758603fb9c05","ScheduledActivityInstance_12","Week 2","-","WK2","ScheduledActivityInstance"
"94146b79-19bc-414b-9bbd-d118e1a5707a","ScheduledActivityInstance_13","Week 4","-","WK4","ScheduledActivityInstance"
"e4bf9939-4ded-4f8e-8630-80be0ca2f62c","ScheduledActivityInstance_14","Week 6","-","WK6","ScheduledActivityInstance"
"661544de-36bf-44b8-ba0f-1c485929be59","ScheduledActivityInstance_15","Week 8","-","WK8","ScheduledActivityInstance"
"bddfb478-7982-45aa-9dad-1727bfa5a3ba","ScheduledActivityInstance_16","Week NPI","-","WK8N","ScheduledActivityInstance"
"1ede2b92-6999-48a0-8f81-c85ff4561218","ScheduledActivityInstance_17","Week 12","-","WK12","ScheduledActivityInstance"
"2dc742cc-25dc-447d-b44d-5b5757e21b8c","ScheduledActivityInstance_18","Week 12 NPI","-","WK12N","ScheduledActivityInstance"
"d46d4b34-c2f6-4ed8-b989-ff1f4f952c93","ScheduledActivityInstance_19","Week 16","-","WK16","ScheduledActivityInstance"
"728406a6-8f2e-4ee9-89ce-ef677666b652","ScheduledActivityInstance_20","Week 16 NPI","-","WK16N","ScheduledActivityInstance"
"ccdbd2bd-7739-4114-8d18-59e8092359c9","ScheduledActivityInstance_21","Week 20","-","WK20","ScheduledActivityInstance"
"38ae95c8-5249-41fe-b335-d84b702cf2c7","ScheduledActivityInstance_22","Week 20 NPI","-","WK20N","ScheduledActivityInstance"
"9736c857-7f09-402c-91f2-2aad419ccbdf","ScheduledActivityInstance_23","Week 24","-","WK24","ScheduledActivityInstance"
"1a81ba01-e20a-414a-b806-c79837e5d16d","ScheduledActivityInstance_24","Week 26","-","WK26","ScheduledActivityInstance"
"95029139-71ec-4ff3-9a9a-edaa385de88f","ScheduledActivityInstance_1","Adevers Event","-","AE","ScheduledActivityInstance"
"7f1ae24f-e578-4ed5-94fe-caafd576d921","ScheduledActivityInstance_2","Early Termination","-","ET","ScheduledActivityInstance"
"c14d88d7-4801-41b0-9e34-73e2aea30284","ScheduledActivityInstance_3","5 minute supine","","VS_5MIN","ScheduledActivityInstance"
"fbf1c5b8-2aac-4d33-b830-1aae5f2de71f","ScheduledActivityInstance_4","Vital signs supine","","VS_SUPINE","ScheduledActivityInstance"
"cdf02b67-a27d-47a8-ab89-21618886ae10","ScheduledActivityInstance_5","1 minute standing","","VS_1MIN","ScheduledActivityInstance"
"46111093-1d42-4328-861e-f886ec807da7","ScheduledActivityInstance_6","Vital signs after 1 min standing","","VS_STAND1","ScheduledActivityInstance"
"447db7a3-3151-4948-8e6e-6456206a9d5f","ScheduledActivityInstance_7","2 minute standing","","VS_2MIN","ScheduledActivityInstance"
"e967d0c0-a1e3-4233-855a-510bc7a6ece5","ScheduledActivityInstance_8","Vital signs after 3 min standing","","VS_STAND3","ScheduledActivityInstance"
