"uuid:ID","id","name","text","instanceType"
"9962c00d-2a99-4853-9462-9085537f015b","TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule"
"8ffbdda8-7cf6-49ba-a54c-10cc9ceff6a4","TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule"
"d043562e-8f6d-48e4-bf57-92c4f99f605c","TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"003fbfe7-7813-4288-a0e1-e21a1d49baf6","TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule"
"079e13a0-ebd0-49d0-b195-145d4680ee75","TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized","TransitionRule"
"67ac25e1-d95e-4cab-aef4-89673879e0c6","TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule"
"55b6d3bf-6047-47af-a41d-7ade88dfac02","TransitionRule_7","ELEMENT_START_RULE_1","Informed consent","TransitionRule"
"078b7fef-7f32-4f32-858d-8b2bc38d50a7","TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"9a9d3903-ea3a-40aa-97b2-f5206a1071fa","TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule"
"16b9fdaf-40c5-49ae-8af5-ef6ff2438ad2","TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule"
"3a5c8d23-d2f8-4258-9412-7d24d92d1c8a","TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"58237a35-b10e-4a8e-9a77-cd0882b143bc","TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule"
"7f4cd244-f01a-49b9-b8fc-0f75c86935c2","TransitionRule_11","ELEMENT_START_RULE_4","Randomized","TransitionRule"
"09cb473b-9204-4df3-88ec-603ea93ee35e","TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"a369db94-a969-400b-abb0-c588bcf746e5","TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
