"purpose","uuid:ID","id","label","description","name","text","instanceType"
"","8cb154a5-f114-4fa1-a71a-74f63bf63df3","Endpoint_1","","","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint"
"","b7dd5755-c41d-4622-a6e1-036fa64859db","Endpoint_2","","","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint"
"","3e9f5a8d-6a3d-41a6-83c2-204b65878efd","Endpoint_3","","","END3","Adverse events","Endpoint"
"","8eb05424-9b56-49ac-8535-5a2daf2dcb2e","Endpoint_4","","","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint"
"","326caf80-e08b-4f77-bb50-b37773a8faf5","Endpoint_5","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","END5","Laboratory evaluations (Change from Baseline)","Endpoint"
"","25a61c12-4c25-4e01-9952-d8f2317a6678","Endpoint_6","","","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint"
"","36ca40be-9f14-41ae-aa9e-9e70a9380044","Endpoint_7","","","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint"
"","23d06604-ba25-4b97-8982-bf5b13bd6782","Endpoint_8","","","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint"
"","c7fe6810-0cd0-4c00-bf8a-7517e14efe22","Endpoint_9","","","END9","*** To be determined from protocol ***","Endpoint"
"","f3a96201-5c68-44d5-8c65-019df74ab43e","Endpoint_10","","","END10","*** To be determined from protocol ***","Endpoint"
"","e509ae63-426b-4607-9def-3659bff16727","Endpoint_11","","","END11","*** To be determined from protocol ***","Endpoint"
