"uuid:ID","id","label","description","name","instanceType"
"c3d7aa3a-a69b-4245-8df3-c588a030139c","Encounter_1","Screening 1","Screening encounter","E1","Encounter"
"f3e7496d-66d0-40ea-8176-3ffc1767383e","Encounter_2","Screening 2","Screening encounter - Ambulatory ECG Placement","E2","Encounter"
"0f04233d-b24c-4333-9f50-68e66871cde8","Encounter_3","Baseline","Baseline encounter - Ambulatory ECG Removal","E3","Encounter"
"fb3f2f87-658f-48cd-8adf-35d4ff11bec7","Encounter_4","Week 2","Day 14","E4","Encounter"
"18603db3-e41f-406f-bd31-e6a1ed2c4c5e","Encounter_5","Week 4","Day 28","E5","Encounter"
"8b973589-5e47-4c9c-915e-5bc6bd756f9b","Encounter_6","Week 6","Day 42","E7","Encounter"
"4b33c1ad-896c-4081-8c79-52b79518eef2","Encounter_7","Week 8","Day 56","E8","Encounter"
"33388899-5db3-4e20-acae-8caf9ebcb546","Encounter_8","Week 12","Day 84","E9","Encounter"
"155d462d-4dc5-4630-9324-ac6cbbf3bc53","Encounter_9","Week 16","Day 112","E10","Encounter"
"f82cbd33-93cc-4b0a-ab89-2c14feccc632","Encounter_10","Week 20","Day 140","E11","Encounter"
"64dc6a95-577f-4c75-8d18-d6a53bb6a9b0","Encounter_11","Week 24","Day 168","E12","Encounter"
"ccc705a4-92a8-4661-95f2-5256e466a955","Encounter_12","Week 26","Day 182","E13","Encounter"
