"label","windowLower","instanceType","uuid:ID","id","windowUpper","value","description","valueLabel","windowLabel","name"
"Screening","","Timing","87161216-ef69-4df7-997d-82d8138176b4","Timing_1","","P2W","Screening timing","2 weeks","","TIM1"
"Pre dose","PT4H","Timing","c34a6f01-40c9-4299-b4c3-ca60a0b19065","Timing_2","PT0H","P2D","Pre dose timing","2 days","-4..0 hours","TIM2"
"Dosing","","Timing","7caf4ee1-ee32-481a-bd67-f7dc6f3618f3","Timing_3","","P1D","Dosing anchor","1 Day","","TIM3"
"Week 2","P3D","Timing","9774f148-b2cc-4c08-b62a-ca903744c3c9","Timing_4","P3D","P2W","Week 2 timing","2 Weeks","-3..3 days","TIM4"
"Week 4","P3D","Timing","cb78b2e7-7a8d-4018-bb6d-0533fba9bc71","Timing_5","P3D","P4W","Week 4 timing","4 Weeks","-3..3 days","TIM5"
"Week 6","P3D","Timing","c319d2d4-adbf-4d32-8328-fddb7c1e879d","Timing_6","P3D","P6W","Week 6 timing","6 Weeks","-3..3 days","TIM6"
"Week 8","P3D","Timing","0ba83e79-1537-436e-bbfe-f7b88aae263d","Timing_7","P3D","P8W","Week 8 timing","8 Weeks","-3..3 days","TIM7"
"Week 12","P4D","Timing","84813479-9578-4f62-ae8d-f0437125cace","Timing_9","P4D","P12W","Week 12 timing","12 Weeks","-4..4 days","TIM9"
"Week 16","P4D","Timing","801cffb8-1beb-4b54-af81-dcef32a6b2cc","Timing_11","P4D","P16W","Week 16 timing","16 Weeks","-4..4 days","TIM11"
"Week 20","P4D","Timing","0ff5444e-3528-427a-813d-ffee74bbc67b","Timing_13","P4D","P20W","Week 20 timing","20 Weeks","-4..4 days","TIM13"
"Week 24","P4D","Timing","d3f9c5e0-2d16-4ca7-93d6-5ebd08c35652","Timing_15","P4D","P24W","Week 24 timing","24 Weeks","-4..4 days","TIM15"
"Week 26","P3D","Timing","baa50c7a-12ef-4d7a-ac1e-266c979fe5f9","Timing_16","P3D","P26W","Week 26 timing","26 Weeks","-3..3 days","TIM16"
"Week 8 Home","","Timing","bed184d8-ad03-4c1c-a2b1-e2aefde09548","Timing_8","","P2W","Week 8 at home timing","2 Weeks","","TIM8"
"Week 12 Home","","Timing","5fd4156c-4fe5-46d9-822e-f2622076c1d1","Timing_10","","P2W","Week 12 at home timing","2 Weeks","","TIM10"
"Week 16 Home","","Timing","8ed57b22-6fa7-4966-9e31-3ed889ca8d5d","Timing_12","","P2W","Week 16 at home timing","2 Weeks","","TIM12"
"Week 20 Home","","Timing","582102af-950a-4532-b172-d1a0e56f2811","Timing_14","","P2W","Week 20 at home timing","2 Weeks","","TIM14"
"Adverse Event","","Timing","5cebb2cd-aa6d-4d78-9062-4662ca53b49e","Timing_17","","P1D","Adverse Event","1 Day","","TIM17"
"Early Termination","","Timing","49e98583-0c6c-4c7d-a0ef-188d7511fc07","Timing_18","","P1D","Early Termination","1 Day","","TIM18"
"Supine","","Timing","cf43288a-26f4-4f49-b19f-47c530151aca","Timing_19","","PT0M","Supine","0 mins","","TIM19"
"VS while supine","","Timing","356cf2e2-3855-480c-8c81-d345030c3feb","Timing_20","","PT5M","VS while supine","5 mins","","TIM20"
"Standing","","Timing","1c3195e5-ee7e-473c-aa3b-ccfe6b032b85","Timing_21","","PT0M","Standing","0 min","","TIM21"
"VS while standing","","Timing","ff63e891-4e9c-4e1e-976a-7191d96e4322","Timing_22","","PT1M","VS while standing","1 min","","TIM22"
"Standing","","Timing","9569ed70-1292-405d-a3cb-bab0b699703f","Timing_23","","PT0M","Standing","0 min","","TIM23"
"VS while standing","","Timing","ed623004-2d26-4e99-8994-a0ea27d81710","Timing_24","","PT2M","VS while standing","2 min","","TIM24"
