"label","instanceType","uuid:ID","id","description","name"
"Screening 1","Encounter","94dbe35c-0ac5-47ff-9c1b-c8fac35b1cd6","Encounter_1","Screening encounter","E1"
"Screening 2","Encounter","ed24c3eb-a8f8-4a95-a5ef-e3743f70bd02","Encounter_2","Screening encounter - Ambulatory ECG Placement","E2"
"Baseline","Encounter","1fa41bae-55d6-4619-8915-57cac6aebea0","Encounter_3","Baseline encounter - Ambulatory ECG Removal","E3"
"Week 2","Encounter","5995b3a8-44ef-4d02-a593-d9f3c35bedf3","Encounter_4","Day 14","E4"
"Week 4","Encounter","1a47edd3-ca10-4d73-ae5a-6a727eb7ce9e","Encounter_5","Day 28","E5"
"Week 6","Encounter","1f90a0ef-0de2-484c-87eb-c9f2cf5cf264","Encounter_6","Day 42","E7"
"Week 8","Encounter","2f1c095f-4109-4f25-8a64-7e3d4d337673","Encounter_7","Day 56","E8"
"Week 12","Encounter","6cd208d0-478d-45cf-89f1-c41d4a491d7a","Encounter_8","Day 84","E9"
"Week 16","Encounter","fc52ef4d-eedd-4b66-afc9-b8b957c433c4","Encounter_9","Day 112","E10"
"Week 20","Encounter","cae8afc6-df5b-4864-9651-d1424bd3c012","Encounter_10","Day 140","E11"
"Week 24","Encounter","fa317b5e-2873-4e06-b36e-4bf6d9737b41","Encounter_11","Day 168","E12"
"Week 26","Encounter","0252012e-2a0d-4c29-a8be-af46e2295201","Encounter_12","Day 182","E13"
