"text","instanceType","uuid:ID","id","name"
"Subject identifier","TransitionRule","9c9bb8c8-4e1a-44a2-bbeb-3db9105e87df","TransitionRule_1","ENCOUNTER_START_RULE_1"
"completion of screening activities","TransitionRule","0c2558dd-3f4c-4c44-adde-554336287241","TransitionRule_2","ENCOUNTER_START_RULE_1"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","392b6a6b-697e-4661-a7ad-f344d453a40d","TransitionRule_3","ENCOUNTER_START_RULE_2"
"subject has connection of ambulatory ECG machine removed","TransitionRule","e4f94e47-0a07-494d-8386-9f0d14e8f33d","TransitionRule_4","ENCOUNTER_START_RULE_3"
"Radomized","TransitionRule","0c409ef0-31b5-429e-8102-36257fb51dee","TransitionRule_5","ENCOUNTER_START_RULE_3"
"End of treatment","TransitionRule","098a4428-fdaf-442b-bdc0-b3a5aecd3198","TransitionRule_6","ENCOUNTER_START_RULE_12"
"Informed consent","TransitionRule","789ad854-59ff-454b-9e80-0f729bf9704c","TransitionRule_7","ELEMENT_START_RULE_1"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","b942704f-9f3b-4abf-93bd-51e5af180f4b","TransitionRule_8","ELEMENT_END_RULE_1"
"Administration of first dose","TransitionRule","ace320fd-d13f-4977-85e5-7147e7401ded","TransitionRule_9","ELEMENT_START_RULE_2"
"End of last scheduled visit on study (including early termination)","TransitionRule","a517c0dc-eef6-4671-98e3-340139f2cb76","TransitionRule_14","ELEMENT_START_RULE_7"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","b1760116-9125-4701-b615-d2f1192cc9b1","TransitionRule_15","ELEMENT_END_RULE_7"
"Administration of first dose","TransitionRule","6ef5bc1e-c69c-4246-b1af-1582e94bd54d","TransitionRule_10","ELEMENT_START_RULE_3"
"Randomized","TransitionRule","7d8f812a-a52a-4562-acea-2c7a8bc0be03","TransitionRule_11","ELEMENT_START_RULE_4"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule","b36cb044-6cba-48c2-8ada-bfe0daea8a1a","TransitionRule_12","ELEMENT_START_RULE_5"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule","5c8a7c44-e410-4608-b9e9-ac23b8c4319c","TransitionRule_13","ELEMENT_START_RULE_6"
