"text","label","instanceType","uuid:ID","id","purpose","description","name"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint","8c7a8a43-409d-425a-aeaa-ee87f08f64aa","Endpoint_1","","","END1"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint","e048c85e-984e-4037-983d-85f99200eb48","Endpoint_2","","","END2"
"Adverse events","","Endpoint","094f6854-90aa-4f84-ae4b-cfab84f36c04","Endpoint_3","","","END3"
"Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint","07953361-7134-46de-812b-f37766227e76","Endpoint_4","","","END4"
"Laboratory evaluations (Change from Baseline)","","Endpoint","81e6f7d7-e726-4e59-baf2-7167bab0402d","Endpoint_5","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","END5"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint","18c94293-d007-4273-9bce-17f7947cb911","Endpoint_6","","","END6"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint","3c8cc6f4-27c2-444d-a5b0-af6d2b913b19","Endpoint_7","","","END7"
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint","c1d7deff-2c04-4457-b1b7-468c3c1db78f","Endpoint_8","","","END8"
"*** To be determined from protocol ***","","Endpoint","46f044e4-039a-4769-9879-db7634f8fdea","Endpoint_9","","","END9"
"*** To be determined from protocol ***","","Endpoint","0153e303-0f4b-4086-a5cd-8429714c32de","Endpoint_10","","","END10"
"*** To be determined from protocol ***","","Endpoint","a6a932c0-cdcc-41be-b092-aca7cceee97d","Endpoint_11","","","END11"
