"decode","instanceType","uuid:ID","id","codeSystem","code","codeSystemVersion"
"Interventional Study","Code","17613c6a-5c3b-48b9-b3d6-636f110c817f","Code_1","http://www.cdisc.org","C98388","2023-12-15"
"Phase II Trial","Code","320b8c8d-9ea8-45f2-af2f-ab953a0585a9","Code_2","http://www.cdisc.org","C15601","2023-12-15"
"Sponsor Approval Date","Code","d5bc59eb-1ee4-46ea-a506-f8f247c17b9a","Code_9","http://www.cdisc.org","C132352","2023-12-15"
"Global","Code","8bc8458b-db1f-4668-b42e-a6bb1883d184","Code_10","http://www.cdisc.org","C68846","2023-12-15"
"IRB/IEC Feedback","Code","f0fa20f7-cde2-4537-a8de-41be685a60d2","Code_72","http://www.cdisc.org","C99904x3","2023-12-15"
"Other","Code","aabffe65-84e5-42f0-a7e6-496ed16313ad","Code_73","http://www.cdisc.org","C17649","2023-12-15"
"Region","Code","5f7e9b9a-2414-42fa-94fd-61b5521e8704","Code_75","http://www.cdisc.org","C41129","2023-12-15"
"Europe","Code","9ab6e1f7-79a7-4058-9b77-a8f065a3f956","Code_74","ISO 3166 1 alpha3","150","2020-08"
"Eli Lilly","Code","67e6a8c7-f2c8-44e4-afe5-b52e052435a8","Code_4","SPONSOR","PHARMA","12"
"Clinical Study Sponsor","Code","bbbc9cb5-d4e3-42ac-951e-0e9f53c3a227","Code_76","http://www.cdisc.org","C70793","2023-12-15"
"United States of America","Code","76fa92b4-f00e-4b5c-bfc5-fb5c89a5c62a","Code_77","ISO 3166 1 alpha3","USA","2020-08"
"Study Registry","Code","608b8009-2715-4db6-9901-e6091213e26e","Code_78","http://www.cdisc.org","C93453","2023-12-15"
"United States of America","Code","37b9e197-1da6-4691-b4c2-be6467bc50ea","Code_79","ISO 3166 1 alpha3","USA","2020-08"
"Treatment Study","Code","1867525a-c553-4bba-91cc-896077cd3b75","Code_137","http://www.cdisc.org","C49656","2023-12-15"
"Efficacy Study","Code","05b9ee17-bd28-49ab-9462-8eadf178b345","Code_138","http://www.cdisc.org","C49666","2023-12-15"
"Safety Study","Code","306f0e87-b88d-485e-8d24-69b691bb8fd8","Code_139","http://www.cdisc.org","C49667","2023-12-15"
"Pharmacokinetic Study","Code","a3dd91b3-abf6-442e-b65d-48f54bec63b7","Code_140","http://www.cdisc.org","C49663","2023-12-15"
"Mild to Moderate Alzheimer's Disease","Code","a8e9b91e-4718-470b-9f5c-ac06e226a932","Code_134","SPONSOR","MILD_MOD_ALZ","12"
"Alzheimer's disease","Code","70c27a5c-0203-47a4-9781-727e78aa8ba5","Code_135","SNOMED","26929004","January 31, 2018"
"EXTENSION","Code","5c5d0116-340b-455d-89eb-3d6de16cb042","Code_143","http://www.cdisc.org","C99907x1","2023-12-15"
"ADAPTIVE","Code","dbe5b387-7807-4a68-91b2-2c88fe92eb74","Code_144","http://www.cdisc.org","C98704","2023-12-15"
"Parallel Study","Code","ec41d53b-17aa-462c-b266-b6393f81f747","Code_141","http://www.cdisc.org","C82639","2023-12-15"
"Visit","Code","6d58a04c-c184-4293-8321-0eefe0cfe4b6","Code_83","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","98922143-e6f6-4ef8-9c3b-49e8786f6f30","Code_84","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","57e46b84-68f5-4497-bc3e-03ea6f4661f8","Code_85","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","aecb9210-4366-48c1-8757-917878af0633","Code_86","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","cfd3cd7a-3eb9-4b77-a879-696dd770dacd","Code_87","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","c5ffc4d0-1bf5-4a8d-990a-195c9cee2dd8","Code_88","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","d2d9086c-8719-4f85-b811-d9627bc2724e","Code_89","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","e1a31de5-a1c3-4a1b-9534-93d1277d0cc6","Code_90","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","1a304cb2-f376-4501-8243-865446fc47a3","Code_91","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","b18ec58e-40fb-4635-8ffc-0387706e73c7","Code_92","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","97681b83-9cac-418e-ba3e-28365ca02c2c","Code_93","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","85158b00-b9c9-4b3a-a0b3-bd429bf4ea51","Code_94","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","108d423f-efad-4d47-999c-0884772e1865","Code_95","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","5174211b-729f-4213-80d5-23d35fdfbad8","Code_96","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","222949d4-d85e-4b9e-99fc-befb91bf6e41","Code_97","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","f57b8888-57da-4591-ae8f-bb989782fad0","Code_98","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","7bcbbbb3-07e4-4770-949f-b54a62be2c60","Code_99","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","41f3c3ba-0df0-46c5-bf73-d6c4d3a4fb8d","Code_100","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","d3ccd9ef-e30c-489a-a65d-c82b3b232340","Code_101","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","77077bd2-5fd6-4779-aa88-f1184b06c68a","Code_102","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","322e1835-7078-4a07-aa7e-85448a56d88b","Code_103","http://www.cdisc.org","C175574","2023-12-15"
"Telephone Call","Code","4af82665-b80e-46b8-aea8-147bce12a431","Code_104","http://www.cdisc.org","C171537","2023-12-15"
"Visit","Code","9bb8fdb9-9abb-45ea-ab49-c2216677b2bc","Code_105","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","eeb02138-e506-4c37-b8b2-1039572ad14c","Code_106","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","6b79d12f-b637-4198-a5fa-b4e393ddc61a","Code_107","http://www.cdisc.org","C175574","2023-12-15"
"Telephone Call","Code","6dc4760b-337b-4fd9-9cc1-f76594a5c875","Code_108","http://www.cdisc.org","C171537","2023-12-15"
"Visit","Code","c5e3ce44-6920-474c-9a68-6df1d33688ea","Code_109","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","f2fd3ddb-3c12-40b6-990b-3abbaa5d24cf","Code_110","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","ad6178d3-f930-48f6-a037-935b0c17c4b4","Code_111","http://www.cdisc.org","C175574","2023-12-15"
"Telephone Call","Code","bd654113-5985-4647-a284-6f1b6b48ac4d","Code_112","http://www.cdisc.org","C171537","2023-12-15"
"Visit","Code","43b2e90e-4e31-4a64-bb5e-a7f4a1a1c564","Code_113","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","83ee284e-5032-4a4d-afb1-8152a447c3f5","Code_114","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","e1fd3357-d6d8-4b89-af4f-d7705db1e5d1","Code_115","http://www.cdisc.org","C175574","2023-12-15"
"Telephone Call","Code","7aba7264-0993-488c-a946-a20e082f6d43","Code_116","http://www.cdisc.org","C171537","2023-12-15"
"Visit","Code","6d41c805-e177-4220-8979-6b5ea38e0375","Code_117","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","4c00d0d6-782a-4d52-b44b-8d3c1a116595","Code_118","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","2f8d0ab8-3517-4668-924c-8077c12d456d","Code_119","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","38f40aae-09f5-44aa-aa1f-cc124c39b244","Code_120","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","711be230-f7ad-4863-aa3e-2ec2b78bfb41","Code_121","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","7ce11ef5-bf27-4863-be39-282a3248f325","Code_122","http://www.cdisc.org","C175574","2023-12-15"
