"label","instanceType","uuid:ID","id","description","name"
"Screen One","ScheduledActivityInstance","0783dbdc-3c81-433b-85c9-3f616cc6f66c","ScheduledActivityInstance_9","-","SCREEN1"
"Screen Two","ScheduledActivityInstance","4218d180-71e6-4e9d-8959-3b3a8c1af5a3","ScheduledActivityInstance_10","-","SCREEN2"
"Dose","ScheduledActivityInstance","355984b6-26e0-41ab-a501-9135652928e4","ScheduledActivityInstance_11","-","DOSE"
"Week 2","ScheduledActivityInstance","fe861ed2-17a1-4020-9e90-0ad23f5d51fb","ScheduledActivityInstance_12","-","WK2"
"Week 4","ScheduledActivityInstance","6e6c7a4e-d2ee-47b8-9c0a-ed3e4bac6f59","ScheduledActivityInstance_13","-","WK4"
"Week 6","ScheduledActivityInstance","529d1186-34b9-438d-ad5e-81cd6c6e5699","ScheduledActivityInstance_14","-","WK6"
"Week 8","ScheduledActivityInstance","eef93737-f36c-4643-a0e9-fe8cfb1dc2c0","ScheduledActivityInstance_15","-","WK8"
"Week NPI","ScheduledActivityInstance","06be761b-0055-4549-83e1-cf91da05acca","ScheduledActivityInstance_16","-","WK8N"
"Week 12","ScheduledActivityInstance","a8906959-e932-4806-800a-23ae7584267a","ScheduledActivityInstance_17","-","WK12"
"Week 12 NPI","ScheduledActivityInstance","54b5a590-6869-4842-85c0-c3a1823e95d9","ScheduledActivityInstance_18","-","WK12N"
"Week 16","ScheduledActivityInstance","849d804d-445d-4488-b412-c8978462bdc2","ScheduledActivityInstance_19","-","WK16"
"Week 16 NPI","ScheduledActivityInstance","e2c851fc-84b4-4cea-a5f0-b9a086d28ba5","ScheduledActivityInstance_20","-","WK16N"
"Week 20","ScheduledActivityInstance","2d8e70e8-f8c3-4414-aa8b-83de527549f0","ScheduledActivityInstance_21","-","WK20"
"Week 20 NPI","ScheduledActivityInstance","1fb2c829-e73f-48f6-94e9-3a5f28509644","ScheduledActivityInstance_22","-","WK20N"
"Week 24","ScheduledActivityInstance","3f6f55b6-c6b3-439f-82fa-2290c05e08be","ScheduledActivityInstance_23","-","WK24"
"Week 26","ScheduledActivityInstance","d9077a87-208e-427c-9f91-9c2653f79b69","ScheduledActivityInstance_24","-","WK26"
"Adevers Event","ScheduledActivityInstance","31015219-1bed-421e-b580-6e60cf21b822","ScheduledActivityInstance_1","-","AE"
"Early Termination","ScheduledActivityInstance","ac9ab508-b505-4e5f-aff7-cd4d5c247df9","ScheduledActivityInstance_2","-","ET"
"5 minute supine","ScheduledActivityInstance","fff44a82-95c4-4b9b-8760-f32cb0496af8","ScheduledActivityInstance_3","","VS_5MIN"
"Vital signs supine","ScheduledActivityInstance","ae8f51ac-882e-4ad5-9511-f4ea2eea44bd","ScheduledActivityInstance_4","","VS_SUPINE"
"1 minute standing","ScheduledActivityInstance","be4686f7-6a08-41a8-98c6-9acae1467a79","ScheduledActivityInstance_5","","VS_1MIN"
"Vital signs after 1 min standing","ScheduledActivityInstance","dbde2116-af4c-4430-a782-d920af34361a","ScheduledActivityInstance_6","","VS_STAND1"
"2 minute standing","ScheduledActivityInstance","ad5b5c36-2c01-47a2-b82b-b83c316048fe","ScheduledActivityInstance_7","","VS_2MIN"
"Vital signs after 3 min standing","ScheduledActivityInstance","2cd71253-4165-4b54-9191-9b2164ea5adb","ScheduledActivityInstance_8","","VS_STAND3"
