"instanceType","text","name","id","uuid:ID"
"TransitionRule","Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule_1","d40ce1f8-b938-465e-afd5-49ab4dfd8a85"
"TransitionRule","completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule_2","1eee10cf-9c74-4bd7-b2f4-c5f4b15deb58"
"TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule_3","4c338f47-c1ff-4d14-8173-64737cdcf49d"
"TransitionRule","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule_4","d402c47d-7d1f-4c4c-b118-cfada68c1705"
"TransitionRule","Radomized","ENCOUNTER_START_RULE_3","TransitionRule_5","76bcd91d-d5a1-436f-a9a0-a0b894dfa31b"
"TransitionRule","End of treatment","ENCOUNTER_START_RULE_12","TransitionRule_6","827219ab-1938-4599-a4a0-f3051c46d997"
"TransitionRule","Informed consent","ELEMENT_START_RULE_1","TransitionRule_7","629afd2e-3c2d-45fb-bce7-3c1d949da53c"
"TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule_8","2cbe4591-64ca-44b6-9c75-200729084b91"
"TransitionRule","Administration of first dose","ELEMENT_START_RULE_2","TransitionRule_9","33047644-3b71-4158-b63e-54b88bf921ba"
"TransitionRule","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule_14","4cdf1557-f1ae-437a-b55c-345b527c9dc6"
"TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule_15","f8979e3c-e874-43c3-a8a8-7116342619ff"
"TransitionRule","Administration of first dose","ELEMENT_START_RULE_3","TransitionRule_10","3e6cf5fa-b437-4ab2-8e19-54c62ac54bf4"
"TransitionRule","Randomized","ELEMENT_START_RULE_4","TransitionRule_11","3a6cb86d-9e90-469b-a221-81212c7fd7a4"
"TransitionRule","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule_12","44b5873d-7591-4c96-8662-80ac1c8b43ad"
"TransitionRule","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule_13","fcda348a-e92a-4207-98fb-a20fc0702d3d"
