"instanceType","windowLabel","windowLower","value","description","windowUpper","name","valueLabel","label","id","uuid:ID"
"Timing","","","P2W","Screening timing","","TIM1","2 weeks","Screening","Timing_1","153e29a1-d380-4293-85ba-0d657c36cc4b"
"Timing","-4..0 hours","PT4H","P2D","Pre dose timing","PT0H","TIM2","2 days","Pre dose","Timing_2","319ee95c-02f3-46e1-80c2-78c805139451"
"Timing","","","P1D","Dosing anchor","","TIM3","1 Day","Dosing","Timing_3","c3567efe-10e9-4888-8f0c-5d76393e2ddd"
"Timing","-3..3 days","P3D","P2W","Week 2 timing","P3D","TIM4","2 Weeks","Week 2","Timing_4","f1c3e992-1d24-4c36-a931-f36756b0bec3"
"Timing","-3..3 days","P3D","P4W","Week 4 timing","P3D","TIM5","4 Weeks","Week 4","Timing_5","f9f7e6a7-d0fb-42d1-9300-aa941a819bb2"
"Timing","-3..3 days","P3D","P6W","Week 6 timing","P3D","TIM6","6 Weeks","Week 6","Timing_6","511717ff-ea74-4915-bb38-0b8bc5116d94"
"Timing","-3..3 days","P3D","P8W","Week 8 timing","P3D","TIM7","8 Weeks","Week 8","Timing_7","748145e1-2a71-4f03-af84-ae2661bd44da"
"Timing","-4..4 days","P4D","P12W","Week 12 timing","P4D","TIM9","12 Weeks","Week 12","Timing_9","3a16f57f-7456-4fec-83a2-bcb92fd15739"
"Timing","-4..4 days","P4D","P16W","Week 16 timing","P4D","TIM11","16 Weeks","Week 16","Timing_11","f77a25ee-a94f-45cc-9c07-7e1b552661a8"
"Timing","-4..4 days","P4D","P20W","Week 20 timing","P4D","TIM13","20 Weeks","Week 20","Timing_13","9944ad47-8c73-4f7c-948b-9cb26121b918"
"Timing","-4..4 days","P4D","P24W","Week 24 timing","P4D","TIM15","24 Weeks","Week 24","Timing_15","5a78d0d2-eb88-4615-8b68-b4fa650f48b3"
"Timing","-3..3 days","P3D","P26W","Week 26 timing","P3D","TIM16","26 Weeks","Week 26","Timing_16","08f2dd49-9741-4b7f-b4b0-7d7f17cc575b"
"Timing","","","P2W","Week 8 at home timing","","TIM8","2 Weeks","Week 8 Home","Timing_8","d62f8e7e-12fe-42ea-b825-2be986a4298d"
"Timing","","","P2W","Week 12 at home timing","","TIM10","2 Weeks","Week 12 Home","Timing_10","47e21f14-0bf2-4122-b41e-08cbb95d7b9b"
"Timing","","","P2W","Week 16 at home timing","","TIM12","2 Weeks","Week 16 Home","Timing_12","fc0b2a80-827a-498e-8eec-75d8454f1bca"
"Timing","","","P2W","Week 20 at home timing","","TIM14","2 Weeks","Week 20 Home","Timing_14","092e41a3-b7ac-4769-8e14-87f819353b7b"
"Timing","","","P1D","Adverse Event","","TIM17","1 Day","Adverse Event","Timing_17","0e58cc70-4cb7-49e3-b549-43836da68bcd"
"Timing","","","P1D","Early Termination","","TIM18","1 Day","Early Termination","Timing_18","06e66924-b8f2-4142-85e8-1a7082063f13"
"Timing","","","PT0M","Supine","","TIM19","0 mins","Supine","Timing_19","9c1461b3-94a7-4444-9e25-494c91648033"
"Timing","","","PT5M","VS while supine","","TIM20","5 mins","VS while supine","Timing_20","63f35e03-cad8-43e0-a02d-08a4dda3b29a"
"Timing","","","PT0M","Standing","","TIM21","0 min","Standing","Timing_21","30a0b95d-06c2-4cf3-bf3d-6c6c0c5b11e8"
"Timing","","","PT1M","VS while standing","","TIM22","1 min","VS while standing","Timing_22","3d3bf039-a652-4b2e-9313-1ade89a337a6"
"Timing","","","PT0M","Standing","","TIM23","0 min","Standing","Timing_23","0f7f1afb-cec2-472b-9d7d-b3651cb7ed36"
"Timing","","","PT2M","VS while standing","","TIM24","2 min","VS while standing","Timing_24","2997b964-9434-4084-8821-83d0e555a2bf"
