"instanceType","description","name","label","id","uuid:ID"
"Activity","","Informed consent","Informed consent","Activity_1","21eef663-bf28-4f30-b105-f9b086f1fde4"
"Activity","","Inclusion/exclusion criteria","Inclusion and exclusion criteria","Activity_2","f238eb7d-72c4-4d80-ab92-7b560c7f4be5"
"Activity","","Patient number assigned","Patient number assigned","Activity_3","1fd29225-975d-4b47-9b39-b950dbb648e6"
"Activity","","Demographics","Demographics","Activity_4","ee31a6ed-0dcb-4ca7-ba7a-1c9c168c24db"
"Activity","","Hachinski","Hachinski Ischemic Scale","Activity_5","9fe5b09e-de5e-4b68-aea8-7fbcec8e1041"
"Activity","","MMSE","MMSE","Activity_6","304a846a-b2ac-44fb-b459-0e45c56ec147"
"Activity","","Physical examination","Physical examination","Activity_7","6b8eb567-9c2d-44d8-898c-24e80285b148"
"Activity","","Medical history","Medical history","Activity_8","f90cff81-2e7f-48d0-9936-c9d2493c2473"
"Activity","","Habits","Habits","Activity_9","612e3ac7-12f3-4ea5-bd4e-2cd690fc1a4b"
"Activity","","Chest X-ray","Chest X-ray","Activity_10","f954fa89-71f6-4844-afca-ef863e546b2a"
"Activity","","Apo E genotyping","Apo E genotyping","Activity_11","334c484c-4a47-4dac-8a38-f99a0e2187e4"
"Activity","","Patient randomised","Patient randomised","Activity_12","537cfde6-87ca-4a17-91a4-65c9e932b81d"
"Activity","","Vital signs / Temperature","Vital Signs and Temperature","Activity_13","e2fd8afd-8fd6-4000-8ab9-7420460931d7"
"Activity","","Ambulatory ECG placed","Ambulatory ECG placed","Activity_14","4de026ce-ba95-4a2e-811e-6798c97f381f"
"Activity","","Ambulatory ECG removed","Ambulatory ECG removed","Activity_15","effb444d-183d-4afd-89ca-81e20f7c4809"
"Activity","","ECG","ECG","Activity_16","13b5a568-a755-4c02-a2b0-935503f42745"
"Activity","","Placebo TTS test","Placebo TTS test","Activity_17","415057bf-62f4-4b7d-900a-3567ecfde59c"
"Activity","","CT scan","CT scan","Activity_18","9b0496ab-4a0e-4727-aacc-54df43bfc31d"
"Activity","","Concomitant medications","Concomitant medications","Activity_19","6fe348ed-c46f-4982-b317-6043323a1da4"
"Activity","","Hematology","Hematology","Activity_20","32e180e2-3cb4-479d-b2c3-c0d804be42e1"
"Activity","","Chemistry","Chemistry","Activity_21","674256f6-e21a-479d-b94b-aff1aa82488c"
"Activity","","Uninalysis","Uninalysis","Activity_22","68b815c0-c22f-4d91-83cd-cd32e4829150"
"Activity","","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","Activity_23","29706f8f-c630-4c5b-b9ae-c683378d1d30"
"Activity","","Hemoglobin A1C","Hemoglobin A1C","Activity_24","a69c6882-6dd2-4cca-8692-f6e2ae968004"
"Activity","","Study drug","Study drug record , Medications dispensed, Medications returned","Activity_25","fc889c02-3fce-49b8-a523-e993734289f2"
"Activity","","TTS Acceptability Survey","TTS Acceptability Survey","Activity_26","12cccdb4-235e-4f47-9b1b-f4060d55c74d"
"Activity","","ADAS-Cog","ADAS-Cog","Activity_27","bb495245-6c4c-401b-a518-a383b6555bd2"
"Activity","","CIBIC+","CIBIC+","Activity_28","df8f8b6f-a496-4219-be36-636b6e3a61d9"
"Activity","","DAD","DAD","Activity_29","b3e215e2-7162-4bc2-891b-39aecf0258b5"
"Activity","","NPI-X","NPI-X","Activity_30","7b60a818-d02e-468d-91d8-bd00873880ab"
"Activity","","Adverse events","Adverse events","Activity_31","674700b7-3f86-4d8c-a4f9-764a4c21a1b1"
"Activity","","Check adverse events","Check adverse events","Activity_32","0445a705-b782-40aa-a876-8d99b9e6866e"
"Activity","","Supine","Subject supine","Activity_33","9b819495-8346-42f5-85d7-763f5002b15d"
"Activity","","Vital Signs Supine","Vital signs while supine","Activity_34","9754a1b4-46fe-4f1e-9d09-a32fbe612e13"
"Activity","","Stand","Subject Standing","Activity_35","0aa48517-7983-4351-807c-b400393b85e3"
"Activity","","Vital Signs Standing","Vital signs while standing","Activity_36","13dad9b8-0158-4406-9e07-f9521915fddd"
