"instanceType","description","name","label","id","uuid:ID"
"ScheduledActivityInstance","-","SCREEN1","Screen One","ScheduledActivityInstance_9","c4dd1718-bf4e-4d90-babc-d24a826f0ce3"
"ScheduledActivityInstance","-","SCREEN2","Screen Two","ScheduledActivityInstance_10","36c2a126-44df-48fb-92d9-21589987267d"
"ScheduledActivityInstance","-","DOSE","Dose","ScheduledActivityInstance_11","8858007a-9ecb-4c72-96e9-c824da29f212"
"ScheduledActivityInstance","-","WK2","Week 2","ScheduledActivityInstance_12","dbe8c913-7e26-4322-98de-bd94634e490b"
"ScheduledActivityInstance","-","WK4","Week 4","ScheduledActivityInstance_13","a6f5f8f9-5076-4a45-b24e-12398b866a75"
"ScheduledActivityInstance","-","WK6","Week 6","ScheduledActivityInstance_14","890c964c-2745-417f-b8d5-b41279c76fc1"
"ScheduledActivityInstance","-","WK8","Week 8","ScheduledActivityInstance_15","91066e37-9171-4591-b4ea-2c9250e3dc1d"
"ScheduledActivityInstance","-","WK8N","Week NPI","ScheduledActivityInstance_16","9a2916e3-b9c8-445c-909a-f6e640bea5ad"
"ScheduledActivityInstance","-","WK12","Week 12","ScheduledActivityInstance_17","484aed58-949c-4898-8cc5-416b40408e45"
"ScheduledActivityInstance","-","WK12N","Week 12 NPI","ScheduledActivityInstance_18","515b1cc2-704d-4936-9a7a-85dd0d36e330"
"ScheduledActivityInstance","-","WK16","Week 16","ScheduledActivityInstance_19","2907f495-1de8-46c8-83e3-d8ae7ed5e25c"
"ScheduledActivityInstance","-","WK16N","Week 16 NPI","ScheduledActivityInstance_20","403b43b2-86ac-4984-9c8f-6cd8d175d26b"
"ScheduledActivityInstance","-","WK20","Week 20","ScheduledActivityInstance_21","c3ea11c5-da37-470b-a9c3-89eb1bed095d"
"ScheduledActivityInstance","-","WK20N","Week 20 NPI","ScheduledActivityInstance_22","ce4ac16a-be94-4723-ba62-8751e515967b"
"ScheduledActivityInstance","-","WK24","Week 24","ScheduledActivityInstance_23","45002732-50c9-49a3-9071-2c23d6a0965e"
"ScheduledActivityInstance","-","WK26","Week 26","ScheduledActivityInstance_24","24e0e646-fa8c-42a3-ac29-8ac8d06973ac"
"ScheduledActivityInstance","-","AE","Adevers Event","ScheduledActivityInstance_1","f86ee016-c5af-48c9-a24d-f7c50e3d6050"
"ScheduledActivityInstance","-","ET","Early Termination","ScheduledActivityInstance_2","c2fcffb9-7d74-437a-98dc-b5ce7e3e8073"
"ScheduledActivityInstance","","VS_5MIN","5 minute supine","ScheduledActivityInstance_3","7b884700-4f3c-4f5e-877c-941d4fe1d9e1"
"ScheduledActivityInstance","","VS_SUPINE","Vital signs supine","ScheduledActivityInstance_4","64ad1709-7e2a-44f1-8160-aa5d5e061d7a"
"ScheduledActivityInstance","","VS_1MIN","1 minute standing","ScheduledActivityInstance_5","b1a65c8c-816d-4530-98c8-25f9476229f6"
"ScheduledActivityInstance","","VS_STAND1","Vital signs after 1 min standing","ScheduledActivityInstance_6","07dbe502-4798-4c67-8ebf-674bc5f818cc"
"ScheduledActivityInstance","","VS_2MIN","2 minute standing","ScheduledActivityInstance_7","c84f255a-81b7-4c76-bb46-fc720cb51859"
"ScheduledActivityInstance","","VS_STAND3","Vital signs after 3 min standing","ScheduledActivityInstance_8","bd7e0b7d-2482-4f82-967d-cb99e2da6df4"
