"id","name","text","instanceType","uuid:ID"
"TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule","5eaf1aff-47d1-4246-b0dc-7371d5b399d8"
"TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule","eaa64a1c-7859-47ec-90dd-f93fa2422afc"
"TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","1ecc93d9-4706-45df-b0f8-a47f10c7e0bf"
"TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule","95abf5b2-ecdc-481b-bcf8-ae833cbb2405"
"TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized","TransitionRule","fe797dd7-92d0-4cd5-a5ee-4011898a219d"
"TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule","7c99d7c8-1025-47da-806d-3210234a2bac"
"TransitionRule_7","ELEMENT_START_RULE_1","Informed consent","TransitionRule","6f73ad92-9ae9-42f7-a36b-1ffb8af953ec"
"TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","8775168e-96ec-4afa-a77b-e06432e6e7d8"
"TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule","df9e7bde-53f1-42d0-a519-4f1df34b7bae"
"TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule","4f98092d-8707-4250-bab9-f90697cc169f"
"TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","d1789d1b-73d4-452b-a180-d389a0a64e63"
"TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule","53a92e50-4353-4620-9a79-caba50de698c"
"TransitionRule_11","ELEMENT_START_RULE_4","Randomized","TransitionRule","44f48962-d822-455e-8525-9621a9134da3"
"TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","6e917c26-4f4d-4f95-80d0-dcce28ba25c2"
"TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","7a8e9b5d-147e-4234-8c01-5654d6ae7c4e"
