"id","name","description","label","instanceType","uuid:ID"
"Activity_1","Informed consent","","Informed consent","Activity","118ee62f-cb25-4d3f-a486-c91e6f1ce620"
"Activity_2","Inclusion/exclusion criteria","","Inclusion and exclusion criteria","Activity","f5127440-0c00-4e62-9a9a-732221162715"
"Activity_3","Patient number assigned","","Patient number assigned","Activity","549fa84f-5731-4ee0-88b8-442ff4b93d2f"
"Activity_4","Demographics","","Demographics","Activity","be6070da-4f67-4fc3-8d62-bd754af4b445"
"Activity_5","Hachinski","","Hachinski Ischemic Scale","Activity","2eb53de5-18e8-4f6d-83ca-0b7e079bbd38"
"Activity_6","MMSE","","MMSE","Activity","9b26d4af-668b-43f8-82be-913042aafe3b"
"Activity_7","Physical examination","","Physical examination","Activity","dfd6775b-bbab-4182-af0a-38e6d1517f11"
"Activity_8","Medical history","","Medical history","Activity","07bb0df5-786f-465b-b0a8-0dcdece35bcb"
"Activity_9","Habits","","Habits","Activity","e9b7e9e3-8f9b-4d2b-acf9-05dcd1b10f9e"
"Activity_10","Chest X-ray","","Chest X-ray","Activity","e9f2b177-bd58-4384-898c-3b6820e88788"
"Activity_11","Apo E genotyping","","Apo E genotyping","Activity","0631d4d8-e803-4af6-8f21-cc0eb6c9e525"
"Activity_12","Patient randomised","","Patient randomised","Activity","aefecd0e-a374-443d-a961-2ad8cb44d5d2"
"Activity_13","Vital signs / Temperature","","Vital Signs and Temperature","Activity","3c08f4a7-d565-4a45-b850-cd6b0fc8e562"
"Activity_14","Ambulatory ECG placed","","Ambulatory ECG placed","Activity","e2fc1d07-14ae-42bf-b78a-f6daad2dee03"
"Activity_15","Ambulatory ECG removed","","Ambulatory ECG removed","Activity","d7db2b4a-e2ca-4a23-9e8a-cd8b21b842a5"
"Activity_16","ECG","","ECG","Activity","2ed78b95-2598-4cde-9508-59bfb4f14933"
"Activity_17","Placebo TTS test","","Placebo TTS test","Activity","774a7dec-4a02-4342-bd52-7edaa59ec242"
"Activity_18","CT scan","","CT scan","Activity","3755abac-5304-41aa-9600-81df2f9e36c7"
"Activity_19","Concomitant medications","","Concomitant medications","Activity","b684b64b-ff8e-4a69-9f5d-bef475cb9106"
"Activity_20","Hematology","","Hematology","Activity","32c3fe78-6531-462a-ad22-873ae4d2596b"
"Activity_21","Chemistry","","Chemistry","Activity","4b31feee-701b-4d13-89fa-9ec97b6a44e7"
"Activity_22","Uninalysis","","Uninalysis","Activity","81f7bbe4-2081-47a1-8b2b-b853c51d4ee5"
"Activity_23","Plasma Specimen (Xanomeline)","","Plasma Specimen (Xanomeline)","Activity","68a3460c-7356-45a8-8894-408b6e1bcc00"
"Activity_24","Hemoglobin A1C","","Hemoglobin A1C","Activity","fa5dd6e3-6079-4877-8bea-9be7716c1a97"
"Activity_25","Study drug","","Study drug record , Medications dispensed, Medications returned","Activity","622c1ff5-60a6-4301-8f38-2250a4af194a"
"Activity_26","TTS Acceptability Survey","","TTS Acceptability Survey","Activity","53daa149-e90d-4001-bdd4-e3b04fe16669"
"Activity_27","ADAS-Cog","","ADAS-Cog","Activity","cda529c6-0633-4d31-9d54-09991293e484"
"Activity_28","CIBIC+","","CIBIC+","Activity","10b5c998-5181-451d-8e7d-71216c9d7479"
"Activity_29","DAD","","DAD","Activity","c54b3005-f242-42f7-a1a7-110e15d069ef"
"Activity_30","NPI-X","","NPI-X","Activity","e99ee2ed-63f3-4134-a0d6-8d4c8a8949d3"
"Activity_31","Adverse events","","Adverse events","Activity","267217e1-1478-4c12-8a45-95aabe354a57"
"Activity_32","Check adverse events","","Check adverse events","Activity","79f138ac-c7b8-46d9-80a0-18bfd326c0e0"
"Activity_33","Supine","","Subject supine","Activity","481bf9d5-f860-4539-8263-fe1ae737258f"
"Activity_34","Vital Signs Supine","","Vital signs while supine","Activity","50cd1771-87f5-4408-983a-12a2facfebe7"
"Activity_35","Stand","","Subject Standing","Activity","15e223ce-9a83-45d3-995c-249f9ed6a6b8"
"Activity_36","Vital Signs Standing","","Vital signs while standing","Activity","454f0793-e4ef-4acd-8ef9-7ea96e36f37a"
