"id","name","description","purpose","label","text","instanceType","uuid:ID"
"Endpoint_1","END1","","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint","b284f2bf-705d-40cd-ad41-f1482241fda3"
"Endpoint_2","END2","","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint","08a32c62-47cf-465f-917f-2e584c682965"
"Endpoint_3","END3","","","","Adverse events","Endpoint","cd8876fd-9340-4629-8af5-d5e24061dbf5"
"Endpoint_4","END4","","","","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint","17e10e8f-f5d8-4b56-8406-b60722ac3f54"
"Endpoint_5","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","","Laboratory evaluations (Change from Baseline)","Endpoint","c0cb6380-cbda-462d-b141-ddf6322a3cb5"
"Endpoint_6","END6","","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint","d957016d-86d7-485a-a9fe-f0c6e0165581"
"Endpoint_7","END7","","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint","25eb6070-95bb-48d3-a762-98782c2e61f5"
"Endpoint_8","END8","","","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint","7ff03532-c16d-46fd-999c-0f5d13488d9e"
"Endpoint_9","END9","","","","*** To be determined from protocol ***","Endpoint","0dd7bd7a-1b95-47b1-9b29-c4b986d6d845"
"Endpoint_10","END10","","","","*** To be determined from protocol ***","Endpoint","c2e68a07-14ca-4b0f-9dd5-d4ce7d7840c7"
"Endpoint_11","END11","","","","*** To be determined from protocol ***","Endpoint","233aee25-dfda-4bd0-981a-251a13e8127f"
