"id","name","description","label","instanceType","uuid:ID"
"Encounter_1","E1","Screening encounter","Screening 1","Encounter","d9ee9bcb-a260-4d6a-b65a-45990dfe288d"
"Encounter_2","E2","Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter","40f9508c-219a-4573-a4e0-32a38452cf10"
"Encounter_3","E3","Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter","6556028c-de93-4715-aa93-487169fc8fd9"
"Encounter_4","E4","Day 14","Week 2","Encounter","e7df2887-857a-4122-85f6-1d6f5be064c5"
"Encounter_5","E5","Day 28","Week 4","Encounter","3c0ffa6f-8a4c-4a9c-b8df-520f539721bf"
"Encounter_6","E7","Day 42","Week 6","Encounter","87c142db-e638-4396-8be6-67a435ff26e6"
"Encounter_7","E8","Day 56","Week 8","Encounter","9cf2eb38-484d-448a-962e-ae4d3d802041"
"Encounter_8","E9","Day 84","Week 12","Encounter","5d0f2ceb-f1e7-43f4-a797-1ac8aca0b329"
"Encounter_9","E10","Day 112","Week 16","Encounter","fd571a80-36ec-45b7-8d36-532e7fc47be3"
"Encounter_10","E11","Day 140","Week 20","Encounter","999d9d49-7148-4155-aefb-2e969da692b0"
"Encounter_11","E12","Day 168","Week 24","Encounter","139d930e-c460-4d08-9c52-73209f25c68c"
"Encounter_12","E13","Day 182","Week 26","Encounter","97987e61-befa-42eb-b4b0-bff2807ccc84"
