"reference","id","name","label","instanceType","synonyms","uuid:ID"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept_20","Informed Consent Obtained","Informed Consent Obtained","BiomedicalConcept","['Informed Consent Obtained', 'Informed Consent']","0f4c0658-f9cf-4bb4-b35b-0b355f7628ee"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept_21","Sex","Sex","BiomedicalConcept","","e841c417-7afc-4c38-98a6-853e816046c1"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept_22","Race","Race","BiomedicalConcept","['Racial Group']","fa3d0e3e-b93d-47ec-ba93-fe2dfa89e820"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_23","Temperature","Temperature","BiomedicalConcept","['Temperature', 'Body Temperature']","e98886fb-a6a3-4f8f-9c31-3669847e05ee"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_24","Weight","Weight","BiomedicalConcept","['Weight', 'Body Weight']","fcf3661a-35e1-4c8e-9a7c-80ce9425b140"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_25","Height","Height","BiomedicalConcept","['Height', 'Body Height']","153f25fb-23a1-4d1e-a969-368facbb1e4b"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","a3f81dc7-3b94-409c-8d94-48a56885df06"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_27","Albumin Presence in Urine","Albumin Presence in Urine","BiomedicalConcept","['Albumin', 'Albumin Measurement']","3c3f9fa2-f167-45ea-88bb-4a1edd89585b"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","4b8a4043-100b-4725-9456-0a197b1ed926"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","79ef3553-faaf-4eda-a950-32f5c62df46a"
