"name","description","label","uuid:ID","instanceType","id"
"SCREEN1","-","Screen One","1f06c4af-9d60-4dab-be99-140f345aa54b","ScheduledActivityInstance","ScheduledActivityInstance_9"
"SCREEN2","-","Screen Two","380b9f5f-77f5-4fe8-888d-9ad1a1f190ad","ScheduledActivityInstance","ScheduledActivityInstance_10"
"DOSE","-","Dose","66362536-ac20-4dc8-9b89-c4e896289c99","ScheduledActivityInstance","ScheduledActivityInstance_11"
"WK2","-","Week 2","44f29fe2-6a20-4bd7-b9ae-a8c6b7d64970","ScheduledActivityInstance","ScheduledActivityInstance_12"
"WK4","-","Week 4","94b5b83a-6c02-43d7-aa8c-9bdf0843737b","ScheduledActivityInstance","ScheduledActivityInstance_13"
"WK6","-","Week 6","10ccb3a8-883a-4e8b-bee2-9208d50073ad","ScheduledActivityInstance","ScheduledActivityInstance_14"
"WK8","-","Week 8","57c93c70-74d6-4e14-b4e9-f7bad174765a","ScheduledActivityInstance","ScheduledActivityInstance_15"
"WK8N","-","Week NPI","ce7651a6-991b-4d05-895c-9646b22ef801","ScheduledActivityInstance","ScheduledActivityInstance_16"
"WK12","-","Week 12","2adb70a1-668a-4f98-bd13-58153fd90693","ScheduledActivityInstance","ScheduledActivityInstance_17"
"WK12N","-","Week 12 NPI","8078f116-aab7-462b-8d30-9e8a2ae04a6f","ScheduledActivityInstance","ScheduledActivityInstance_18"
"WK16","-","Week 16","d0f92a3f-6a76-4ca9-892e-743d9dd85ee7","ScheduledActivityInstance","ScheduledActivityInstance_19"
"WK16N","-","Week 16 NPI","010c103b-1a7f-4806-993e-47aeb07dd708","ScheduledActivityInstance","ScheduledActivityInstance_20"
"WK20","-","Week 20","40c028fb-5144-4de9-b832-4e6690d870c5","ScheduledActivityInstance","ScheduledActivityInstance_21"
"WK20N","-","Week 20 NPI","94eda393-545e-42cf-950c-7c749a31f080","ScheduledActivityInstance","ScheduledActivityInstance_22"
"WK24","-","Week 24","7ca6c4b0-07ec-41d3-802f-be1bee30f6d4","ScheduledActivityInstance","ScheduledActivityInstance_23"
"WK26","-","Week 26","20a22d5d-bc3e-48de-9059-143bbc4bfd4a","ScheduledActivityInstance","ScheduledActivityInstance_24"
"AE","-","Adevers Event","6a04bc0b-3243-4ae4-bffc-9ea0d782a314","ScheduledActivityInstance","ScheduledActivityInstance_1"
"ET","-","Early Termination","ddb0f3a4-3c89-41ae-98a6-7f974b494c2f","ScheduledActivityInstance","ScheduledActivityInstance_2"
"VS_5MIN","","5 minute supine","3b626b42-8178-40ae-898a-feef01f12e30","ScheduledActivityInstance","ScheduledActivityInstance_3"
"VS_SUPINE","","Vital signs supine","7c04cac2-a7b0-46a2-8aed-2f2cad47a7ee","ScheduledActivityInstance","ScheduledActivityInstance_4"
"VS_1MIN","","1 minute standing","f6753c2e-7387-4ddc-88f2-c0ef5ebd91ec","ScheduledActivityInstance","ScheduledActivityInstance_5"
"VS_STAND1","","Vital signs after 1 min standing","7f418dc1-55c9-4b33-bd9e-4960a01dfcd3","ScheduledActivityInstance","ScheduledActivityInstance_6"
"VS_2MIN","","2 minute standing","b9033e7b-5ad1-4786-8ad4-dc5e5a11918c","ScheduledActivityInstance","ScheduledActivityInstance_7"
"VS_STAND3","","Vital signs after 3 min standing","f5b4167e-d55d-4e7a-98a3-5d3f937b38b4","ScheduledActivityInstance","ScheduledActivityInstance_8"
