"name","synonyms","label","uuid:ID","instanceType","id","reference"
"Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained","e586b14e-7d39-4830-a5b6-d5ae02b3406f","BiomedicalConcept","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT"
"Sex","","Sex","e2b249aa-e0de-4a20-9b5f-2d93a54e37d8","BiomedicalConcept","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"Race","['Racial Group']","Race","4666178c-14dc-4481-aa7b-8f4f1fe9bf08","BiomedicalConcept","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"Temperature","['Temperature', 'Body Temperature']","Temperature","a84969a6-ca85-48f9-8b2b-2e543e60b8a2","BiomedicalConcept","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","['Weight', 'Body Weight']","Weight","15a9c68b-a15e-4cba-9431-1c0281c12425","BiomedicalConcept","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","['Height', 'Body Height']","Height","226d0eee-12dd-41ac-94df-3992c6ad71c4","BiomedicalConcept","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","606ed062-5684-4d13-88dd-14627460c28e","BiomedicalConcept","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","cd274888-3fd8-4fc8-b456-41fd2d0965c0","BiomedicalConcept","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","4535d7f8-0061-4a09-9813-e327b8382681","BiomedicalConcept","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","62b5e2af-734e-443c-a387-cda6e45d2d8c","BiomedicalConcept","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","1d41f75f-d0fc-44ad-992e-caf21f372b10","BiomedicalConcept","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","63e4d713-b549-4180-bae2-86f504324499","BiomedicalConcept","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","84306f92-9e53-4645-a33f-3393edc63c75","BiomedicalConcept","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","1b91ef92-cae0-472c-b177-6b3df460c326","BiomedicalConcept","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","3d0de582-6f20-48b8-afb3-076deade1119","BiomedicalConcept","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","b3d95d14-c7e6-49ae-83e7-577bbfc9013b","BiomedicalConcept","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","f865d26d-7d1a-4210-9007-a83d37311b8d","BiomedicalConcept","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Temperature","['Temperature', 'Body Temperature']","Temperature","496df2e9-618f-4f07-9a9d-8be366a761b1","BiomedicalConcept","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","['Weight', 'Body Weight']","Weight","b8e568a0-53a0-4ac5-8267-2a9ad0bcacec","BiomedicalConcept","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","['Height', 'Body Height']","Height","356baac1-0736-4a4e-b40d-fdb774e95802","BiomedicalConcept","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","afd2f3f5-93fc-4dc2-9bb3-d591c6773d74","BiomedicalConcept","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","92007971-bc73-408a-8e1e-7f1db7868c1d","BiomedicalConcept","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
