"codeSystemVersion","code","instanceType","uuid:ID","id","codeSystem","decode"
"2023-12-15","C98388","Code","e40189a7-e748-4ca8-9cd4-bc0c0087af93","Code_1","http://www.cdisc.org","Interventional Study"
"2023-12-15","C15601","Code","ead5f364-295f-42ca-be78-473d67a048db","Code_2","http://www.cdisc.org","Phase II Trial"
"2023-12-15","C132352","Code","2f7f999e-0be3-4d8d-b82e-0e4e83a53691","Code_9","http://www.cdisc.org","Sponsor Approval Date"
"2023-12-15","C68846","Code","efad06cb-6d5c-4e50-acfb-89fe2f2cc153","Code_10","http://www.cdisc.org","Global"
"2023-12-15","C99904x3","Code","24548010-f06c-4e63-9750-c2f0e7fcb129","Code_72","http://www.cdisc.org","IRB/IEC Feedback"
"2023-12-15","C17649","Code","56192f3d-953d-4339-8c91-d519613ccace","Code_73","http://www.cdisc.org","Other"
"2023-12-15","C41129","Code","78bd8400-23fe-4398-9b44-bd87f8fcd3e4","Code_75","http://www.cdisc.org","Region"
"2020-08","150","Code","23bef6f2-e417-40fb-a05d-0e4b4077ea6f","Code_74","ISO 3166 1 alpha3","Europe"
"12","PHARMA","Code","bf80c256-5ffc-4013-9b2a-eeffbeb8d26f","Code_4","SPONSOR","Eli Lilly"
"2023-12-15","C70793","Code","07300601-8b60-4c41-b283-e1b70de39069","Code_76","http://www.cdisc.org","Clinical Study Sponsor"
"2020-08","USA","Code","bc5a67d9-60e4-44be-9700-02a91058b516","Code_77","ISO 3166 1 alpha3","United States of America"
"2023-12-15","C93453","Code","f04a0df7-43d5-4a9b-baf5-4bd92415f7f0","Code_78","http://www.cdisc.org","Study Registry"
"2020-08","USA","Code","08533087-285d-4926-a311-77886722f1a7","Code_79","ISO 3166 1 alpha3","United States of America"
"2023-12-15","C49656","Code","39480fd2-24b2-4197-9573-528a47a088e6","Code_137","http://www.cdisc.org","Treatment Study"
"2023-12-15","C49666","Code","2309df30-3a4d-4171-b336-8fb033401d3c","Code_138","http://www.cdisc.org","Efficacy Study"
"2023-12-15","C49667","Code","af123958-60a2-44f1-9aa1-40c05d2234bf","Code_139","http://www.cdisc.org","Safety Study"
"2023-12-15","C49663","Code","c06857f5-c6dd-40d2-8f2b-6fd248088eb6","Code_140","http://www.cdisc.org","Pharmacokinetic Study"
"12","MILD_MOD_ALZ","Code","d75b8d6f-fb9d-4f57-9568-b3422ef0ea3b","Code_134","SPONSOR","Mild to Moderate Alzheimer's Disease"
"January 31, 2018","26929004","Code","0d8a0c7d-d6d7-4a80-8aba-d368b35a396b","Code_135","SNOMED","Alzheimer's disease"
"2023-12-15","C99907x1","Code","ae939a9a-68a2-4e33-898b-78d0f4ba79ce","Code_143","http://www.cdisc.org","EXTENSION"
"2023-12-15","C98704","Code","7b1325b8-8429-48cd-bb7b-a929a687c71d","Code_144","http://www.cdisc.org","ADAPTIVE"
"2023-12-15","C82639","Code","afdc7940-a92e-4093-b92e-6f552b7e393e","Code_141","http://www.cdisc.org","Parallel Study"
"2023-12-15","C25716","Code","f70b907a-1d13-4da5-9e97-9c94d2305a36","Code_83","http://www.cdisc.org","Visit"
"2023-12-15","C51282","Code","53a82672-139f-473e-a0f7-e7061a4df047","Code_84","http://www.cdisc.org","Clinic"
"2023-12-15","C175574","Code","42fb66e1-dc11-4195-9678-d16c50721fbf","Code_85","http://www.cdisc.org","In Person"
"2023-12-15","C25716","Code","5eb92aa2-5269-4238-9f5d-13481d225806","Code_86","http://www.cdisc.org","Visit"
"2023-12-15","C51282","Code","1cbccdc0-3d3d-49af-8acf-6fce0fd6c5b5","Code_87","http://www.cdisc.org","Clinic"
"2023-12-15","C175574","Code","0bff3b5e-6c27-4acf-8293-d9c2818c2762","Code_88","http://www.cdisc.org","In Person"
"2023-12-15","C25716","Code","aaadb5a6-c195-4b9e-b8c2-22b4a7e63271","Code_89","http://www.cdisc.org","Visit"
"2023-12-15","C51282","Code","5e85e4c4-93e8-43c6-be76-95387774ee78","Code_90","http://www.cdisc.org","Clinic"
"2023-12-15","C175574","Code","8df8c4b8-f7e1-45ef-960e-2e3020a577c1","Code_91","http://www.cdisc.org","In Person"
"2023-12-15","C25716","Code","a4528560-1dc4-4fbc-80de-bdf9f8b433ce","Code_92","http://www.cdisc.org","Visit"
"2023-12-15","C51282","Code","e44eca39-24c4-4728-ab03-22a4ec278e53","Code_93","http://www.cdisc.org","Clinic"
"2023-12-15","C175574","Code","441b92b6-0560-44a7-8e8b-827afe22a1fd","Code_94","http://www.cdisc.org","In Person"
"2023-12-15","C25716","Code","a072ed57-b77f-490e-a892-a47419c16edb","Code_95","http://www.cdisc.org","Visit"
"2023-12-15","C51282","Code","476db6ce-5cc5-4de8-a7d4-87dbe3e39522","Code_96","http://www.cdisc.org","Clinic"
"2023-12-15","C175574","Code","b1f3f6a8-a685-4926-a65f-0c6bfb3e3a8f","Code_97","http://www.cdisc.org","In Person"
"2023-12-15","C25716","Code","123bf67e-dc5f-4d8a-9122-135116e0ff26","Code_98","http://www.cdisc.org","Visit"
