"name","description","value","windowLower","label","uuid:ID","windowLabel","instanceType","id","windowUpper","valueLabel"
"TIM1","Screening timing","P2W","","Screening","b88879fa-b5bd-4985-8726-98efbe97faad","","Timing","Timing_1","","2 weeks"
"TIM2","Pre dose timing","P2D","PT4H","Pre dose","c7dbb924-e6f0-4624-9a56-eaacc6297365","-4..0 hours","Timing","Timing_2","PT0H","2 days"
"TIM3","Dosing anchor","P1D","","Dosing","87c50f24-4a18-4863-a24d-d617f4f2d9a8","","Timing","Timing_3","","1 Day"
"TIM4","Week 2 timing","P2W","P3D","Week 2","4d33e855-305e-460a-92ec-8757329b7688","-3..3 days","Timing","Timing_4","P3D","2 Weeks"
"TIM5","Week 4 timing","P4W","P3D","Week 4","adc0e75d-a85e-4632-aa04-e82d33db42ca","-3..3 days","Timing","Timing_5","P3D","4 Weeks"
"TIM6","Week 6 timing","P6W","P3D","Week 6","ba38f51e-41ac-49eb-be8e-9baceab719d5","-3..3 days","Timing","Timing_6","P3D","6 Weeks"
"TIM7","Week 8 timing","P8W","P3D","Week 8","521d410e-9076-43c4-a871-4e3371a93a62","-3..3 days","Timing","Timing_7","P3D","8 Weeks"
"TIM9","Week 12 timing","P12W","P4D","Week 12","0a5c6e66-172c-4b14-bccc-37898446f52b","-4..4 days","Timing","Timing_9","P4D","12 Weeks"
"TIM11","Week 16 timing","P16W","P4D","Week 16","7df9a4d4-e605-4788-8df4-93610912063b","-4..4 days","Timing","Timing_11","P4D","16 Weeks"
"TIM13","Week 20 timing","P20W","P4D","Week 20","154b74fe-f90b-426b-bbab-144395c1fed6","-4..4 days","Timing","Timing_13","P4D","20 Weeks"
"TIM15","Week 24 timing","P24W","P4D","Week 24","9eb6cacd-ee24-47a5-984e-96963368e3ea","-4..4 days","Timing","Timing_15","P4D","24 Weeks"
"TIM16","Week 26 timing","P26W","P3D","Week 26","cfddc27a-04dc-44a0-a0f3-08f91f663863","-3..3 days","Timing","Timing_16","P3D","26 Weeks"
"TIM8","Week 8 at home timing","P2W","","Week 8 Home","2900d0d0-479a-4d4c-bfc7-3731c892b095","","Timing","Timing_8","","2 Weeks"
"TIM10","Week 12 at home timing","P2W","","Week 12 Home","35b9a21e-e718-48e0-b582-67c6fc0d1346","","Timing","Timing_10","","2 Weeks"
"TIM12","Week 16 at home timing","P2W","","Week 16 Home","1170c0a7-d37c-474d-990c-365ebf18e5c6","","Timing","Timing_12","","2 Weeks"
"TIM14","Week 20 at home timing","P2W","","Week 20 Home","5f913db6-fe82-4750-857f-bef43d91ab98","","Timing","Timing_14","","2 Weeks"
"TIM17","Adverse Event","P1D","","Adverse Event","24819e89-ae79-46e7-b7a3-6c82824847f9","","Timing","Timing_17","","1 Day"
"TIM18","Early Termination","P1D","","Early Termination","678abb71-da25-4422-9a0b-08e0666d0178","","Timing","Timing_18","","1 Day"
"TIM19","Supine","PT0M","","Supine","fcfda2c1-a53d-4d61-a433-8edc73af70df","","Timing","Timing_19","","0 mins"
"TIM20","VS while supine","PT5M","","VS while supine","17a7aadc-5709-48cc-a53f-f158bff54638","","Timing","Timing_20","","5 mins"
"TIM21","Standing","PT0M","","Standing","1dc3bf8c-662e-4cae-911a-43c8507b3356","","Timing","Timing_21","","0 min"
"TIM22","VS while standing","PT1M","","VS while standing","355b7722-c9a2-45a8-ad47-5b4873b6e921","","Timing","Timing_22","","1 min"
"TIM23","Standing","PT0M","","Standing","5adb1a39-cfa7-4a09-b696-5185b351eca4","","Timing","Timing_23","","0 min"
"TIM24","VS while standing","PT2M","","VS while standing","2b23aae2-aa2a-4894-876a-b4f2c631b254","","Timing","Timing_24","","2 min"
