"name","uuid:ID","instanceType","id","text"
"ENCOUNTER_START_RULE_1","d13d6e76-df8c-48fc-9d38-42981e407a66","TransitionRule","TransitionRule_1","Subject identifier"
"ENCOUNTER_START_RULE_1","dfdfc760-7182-4ba1-8943-9d45debdfc3a","TransitionRule","TransitionRule_2","completion of screening activities"
"ENCOUNTER_START_RULE_2","86879557-0b29-4fd8-a7cf-6a4dd7f5c8a1","TransitionRule","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"ENCOUNTER_START_RULE_3","1dc39193-667e-44b5-b443-106c35924618","TransitionRule","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"ENCOUNTER_START_RULE_3","1cf12208-38e4-485b-90a6-b446e800990f","TransitionRule","TransitionRule_5","Radomized"
"ENCOUNTER_START_RULE_12","1a5807b2-7a76-4c96-aaab-863983d7a02f","TransitionRule","TransitionRule_6","End of treatment"
"ELEMENT_START_RULE_1","ed6ee33a-ed34-4482-a6b1-166293c21ec1","TransitionRule","TransitionRule_7","Informed consent"
"ELEMENT_END_RULE_1","9ef86f5c-5889-4960-81ba-5bf184c70762","TransitionRule","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"ELEMENT_START_RULE_2","04ef2788-ab37-408b-8ff0-5fd32da8c6bf","TransitionRule","TransitionRule_9","Administration of first dose"
"ELEMENT_START_RULE_7","33fa5d5d-da9a-4bf6-ba3c-0fd3bfaf7960","TransitionRule","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"ELEMENT_END_RULE_7","30fc2053-1faa-4577-850d-f3513b013c27","TransitionRule","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"ELEMENT_START_RULE_3","9d532665-cb77-40f5-a4fb-6410eb507280","TransitionRule","TransitionRule_10","Administration of first dose"
"ELEMENT_START_RULE_4","1177dd9d-c0f9-45d2-b1bd-0c3c5c1a0d68","TransitionRule","TransitionRule_11","Randomized"
"ELEMENT_START_RULE_5","ce60c0a2-45fa-4706-8830-7cc28e24ff7c","TransitionRule","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"ELEMENT_START_RULE_6","27e142d7-b96a-4f89-a69b-8d85d9d6aeec","TransitionRule","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
