"purpose","name","description","label","uuid:ID","instanceType","id","text"
"","END1","","","8317dded-abf6-45b3-a891-30770325de60","Endpoint","Endpoint_1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"","END2","","","9ac2f3c5-91d5-40ab-9ba3-a8e698b3255c","Endpoint","Endpoint_2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"","END3","","","a1493b99-ce53-428d-9101-0c044b7c4e66","Endpoint","Endpoint_3","Adverse events"
"","END4","","","94d347ee-cc48-4a95-9b37-4fd7500851d0","Endpoint","Endpoint_4","Vital signs (weight, standing and supine blood pressure, heart rate)"
"","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","11e34f0e-e3aa-4375-8a31-08e39ed2348d","Endpoint","Endpoint_5","Laboratory evaluations (Change from Baseline)"
"","END6","","","ddbd146d-c1c0-4865-8e74-5306a2220e59","Endpoint","Endpoint_6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"","END7","","","be9318a8-deb8-4043-bc7b-3f7f00d67a94","Endpoint","Endpoint_7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"","END8","","","c36fb379-d473-4da0-b0ca-dd4ab2d5ad92","Endpoint","Endpoint_8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"","END9","","","e95d284f-e103-4a73-a7f0-75e21f33502a","Endpoint","Endpoint_9","*** To be determined from protocol ***"
"","END10","","","370563f0-5896-4099-bc50-ba3aac186186","Endpoint","Endpoint_10","*** To be determined from protocol ***"
"","END11","","","ba4ae439-e033-42f3-a5da-f41d7490bb7c","Endpoint","Endpoint_11","*** To be determined from protocol ***"
